cycle_index;data_point;test_time;date_time;ir_charge;ir_discharge;end_voltage_charge;end_voltage_discharge;charge_capacity;discharge_capacity;coulombic_efficiency;cumulated_coulombic_efficiency;cumulated_charge_capacity;cumulated_discharge_capacity;discharge_capacity_loss;charge_capacity_loss;coulombic_difference;cumulated_coulombic_difference;cumulated_discharge_capacity_loss;cumulated_charge_capacity_loss;shifted_charge_capacity;shifted_discharge_capacity;cumulated_ric;cumulated_ric_sei;cumulated_ric_disconnect;normalized_cycle_index;charge_c_rate;discharge_c_rate;discharge_capacity_gravimetric;charge_capacity_gravimetric;cumulated_charge_capacity_gravimetric;cumulated_discharge_capacity_gravimetric;coulombic_difference_gravimetric;cumulated_coulombic_difference_gravimetric;discharge_capacity_loss_gravimetric;charge_capacity_loss_gravimetric;cumulated_discharge_capacity_loss_gravimetric;cumulated_charge_capacity_loss_gravimetric;shifted_charge_capacity_gravimetric;shifted_discharge_capacity_gravimetric;discharge_capacity_areal;charge_capacity_areal;cumulated_charge_capacity_areal;cumulated_discharge_capacity_areal;coulombic_difference_areal;cumulated_coulombic_difference_areal;discharge_capacity_loss_areal;charge_capacity_loss_areal;cumulated_discharge_capacity_loss_areal;cumulated_charge_capacity_loss_areal;shifted_charge_capacity_areal;shifted_discharge_capacity_areal
1;1524;146226.6067241563;2018-04-20 11:58:56.000000;55.77235412597656;58.47431182861328;1.0001250505447388;0.04997856169939041;0.000564251033665;0.000670358403641;84.17154623561278;84.17154623561278;0.000564251033665;0.000670358403641;;;0.00010610736997599996;0.00010610736997599996;;;0.00010610736997599996;0.0007764657736169999;;;;0.6260483721110319;0.04916;0.04915;2319.703848472578;1952.530597346385;1952.530597346385;2319.703848472578;367.17325112619307;367.17325112619307;;;;;367.17325112619307;2686.877099598771;0.37934525718278095;0.3193007685422087;0.3193007685422087;0.37934525718278095;0.06004448864057229;0.06004448864057229;;;;;0.06004448864057229;0.4393897458233533
2;2464;241504.3227584712;2018-04-21 14:26:56.999999;49.12309646606445;27.863733291625977;1.0001250505447388;0.04997856169939041;0.000563877907407;0.000575399280988;97.99767327459689;182.16921951020967;0.001128128941072;0.0012457576846289999;9.495912265299999e-05;3.731262580000585e-07;1.1521373581000025e-05;0.00011762874355699998;9.495912265299999e-05;3.731262580000585e-07;0.00011762874355699998;0.000693028024545;0.18871121164346552;0.01975760194994833;0.0006612770482252874;1.251682752802508;0.04916;0.04915;1991.1079196838498;1951.2394336764023;3903.7700310227874;4310.811768156427;39.868486007447494;407.04173713364054;328.5959287887284;1.2911636699827747;328.5959287887284;1.2911636699827747;407.04173713364054;2398.1496568174903;0.3256093860293782;0.31908962227249105;0.6383903908146997;0.7049546432121592;0.006519763756887201;0.06656425239745949;0.053735871153402746;0.00021114626971765747;0.053735871153402746;0.00021114626971765747;0.06656425239745949;0.3921736384268377
3;3402;336353.3303996318;2018-04-22 16:47:48.000000;45.1297607421875;30.514915466308594;1.0001250505447388;0.04997856169939041;0.000563030798457;0.000570974941418;98.60867047137464;280.7778899815843;0.001691159739529;0.001816732626047;4.424339569999991e-06;8.471089499999555e-07;7.94414296099999e-06;0.00012557288651799997;9.938346222299998e-05;1.220235208000014e-06;0.00012557288651799997;0.000696547827936;0.21064589354628488;0.03234372018188233;0.002163568482013494;1.8763772483231878;0.04916;0.04915;1975.7979638874654;1948.3081033899205;5852.078134412707;6286.609732043893;27.48986049754495;434.5315976311855;15.309955796384354;2.9313302864818103;343.9058845851127;4.222493956464585;434.5315976311855;2410.3295615186507;0.32310572198499576;0.31861025666634035;0.95700064748104;1.028060365197155;0.00449546531865541;0.0710597177161149;0.0025036640443824682;0.00047936560615067776;0.05623953519778521;0.0006905118758683352;0.0710597177161149;0.3941654397011107
4;3969;382015.4884271299;2018-04-23 05:28:49.000000;53.093833923339844;30.516921997070312;1.0001250505447388;0.04997856169939041;0.000536122502443;0.000543242648413;98.68932492859305;379.46721491017735;0.002227282241972;0.00235997527446;2.7732293004999967e-05;2.6908296014000062e-05;7.120145970000084e-06;0.00013269303248800005;0.00012711575522799995;2.8128531222000076e-05;0.00013269303248800005;0.0006759356809010001;0.2725473722407258;-0.0028020482169866107;0.04995544076989352;2.471216424295002;0.0983;0.09829;1879.8333180185386;1855.1948113352676;7707.2729457479745;8166.443050062432;24.638506683271082;459.1701043144566;95.9646458689267;93.11329205465283;439.8705304540394;97.33578601111742;459.1701043144566;2339.0034223329953;0.307412454376041;0.3033832759701339;1.260383923451174;1.335472819573196;0.004029178405907026;0.07508889612202192;0.015693267608954797;0.015226980696206413;0.07193280280674001;0.015917492572074747;0.07508889612202192;0.3825013504980629
5;4528;427340.88626473467;2018-04-23 18:04:15.999999;53.093833923339844;25.20797348022461;1.0001250505447388;0.04997856169939041;0.000532386350822;0.000538689181759;98.82996890406837;478.2971838142457;0.002759668592794;0.002898664456219;4.553466654000078e-06;3.7361516209999954e-06;6.302830937000002e-06;0.00013899586342500006;0.00013166922188200003;3.186468284300007e-05;0.00013899586342500006;0.000677685045184;0.2927970307451351;0.0019854384195641343;0.056924280175020374;3.06191026157759;0.0983;0.09829;1864.0765317027335;1842.2662566298475;9549.539202377822;10030.519581765166;21.810275072885965;480.98037938734257;15.75678631580521;12.92855470542009;455.6273167698446;110.2643407165375;480.98037938734257;2345.056911090076;0.30483571934959397;0.3012690466416968;1.5616529700928707;1.64030853892279;0.003566672707897147;0.07865556882991907;0.002576735026447024;0.002114229328437144;0.07450953783318703;0.01803172190051189;0.07865556882991907;0.383491288179513
6;5087;472452.5155748302;2018-04-24 06:36:10.000000;53.09209060668945;27.862361907958984;1.0001250505447388;0.04997856169939041;0.000529685741377;0.00053612239334;98.79940624697652;577.0965900612223;0.003289354334171;0.003434786849559;2.5667884189999697e-06;2.7006094450000113e-06;6.436651963000043e-06;0.0001454325153880001;0.000134236010301;3.456529228800008e-05;0.0001454325153880001;0.0006815549087280001;0.30970850935103617;0.009002978430181639;0.06199692984162113;3.6496077159634237;0.0983;0.09829;1855.194433795958;1832.9210853173643;11382.460287695187;11885.714015561123;22.27334847859371;503.25372786593624;8.882097906775474;9.345171312483219;464.50941467662005;119.60951202902072;503.25372786593624;2358.448161661894;0.3033832142304655;0.29974081431269267;1.8613937844055635;1.9436917531532554;0.0036423999177728292;0.08229796874769191;0.0014525051191284486;0.0015282323290041308;0.07596204295231548;0.019559954229516025;0.08229796874769191;0.3856811829781574
7;5644;517504.2665152918;2018-04-24 19:07:03.000000;51.76223373413086;26.535581588745117;1.0001250505447388;0.04997856169939041;0.000528933689106;0.000535390283337;98.79403970674308;675.8906297679654;0.0038182880232769997;0.003970177132896;7.321100030000145e-07;7.520522709999426e-07;6.456594230999971e-06;0.00015188910961900007;0.000134968120304;3.5317344559000026e-05;0.00015188910961900007;0.000687279392956;0.3232801494244726;0.01977265092536754;0.06341673825301025;4.236470752560169;0.0983;0.09828;1852.661045115753;1830.3186885430182;13212.778976238205;13738.375060676875;22.34235657273476;525.596084438671;2.533388680205001;2.602396774346055;467.04280335682506;122.21190880336678;525.596084438671;2378.257129554424;0.3029689247162807;0.2993152397832949;2.1607090241888582;2.246660677869536;0.0036536849329858135;0.08595165368067771;0.00041428951418479867;0.0004255745293977831;0.07637633246650027;0.019985528758913806;0.08595165368067771;0.3889205783969584
8;6201;562579.9212327457;2018-04-25 07:38:21.000000;54.41313552856445;27.862817764282227;1.0001250505447388;0.04997856169939041;0.000529160838595;0.000535761916699;98.76790830063634;774.6585380686017;0.004347448861871999;0.004505939049595;-3.716333619999861e-07;-2.2714948899995105e-07;6.601078104000006e-06;0.00015849018772300008;0.00013459648694200002;3.5090195070000075e-05;0.00015849018772300008;0.000694252104422;0.33505751371474685;0.03268207177269715;0.06298729030201307;4.823585816285496;0.0983;0.09829;1853.9470427781525;1831.104715153485;15043.88369139169;15592.322103455028;22.842327624667593;548.4384120633387;-1.2859976623994762;-0.7860266104666446;465.7568056944256;121.42588219290013;548.4384120633387;2402.385454841491;0.3031792261796768;0.29944378009972206;2.46015280428858;2.549839904049213;0.0037354460799547636;0.08968709976063248;-0.00021030146339611565;-0.00012854031642716554;0.07616603100310416;0.01985698844248664;0.08968709976063248;0.3928663259403093
9;6772;607663.6623524296;2018-04-25 20:53:25.000000;53.0842399597168;30.51792335510254;1.0001250505447388;0.04997856169939041;0.000529182352661;0.000535943654712;98.7384304317152;873.3969685003169;0.004876631214532999;0.005041882704306999;-1.8173801300002713e-07;-2.151406600005984e-08;6.761302050999974e-06;0.00016525148977400005;0.000134414748929;3.5068681004000015e-05;0.00016525148977400005;0.000701195144486;0.34749147246246836;0.045500133167809854;0.0629466333515532;5.410724750318883;0.0983;0.09829;1854.5759278132027;1831.1791622871758;16875.062853678864;17446.89803126823;23.3967655260269;571.8351775893656;-0.6288850350501344;-0.07444713369082843;465.1279206593755;121.35143505920931;571.8351775893656;2426.411105402568;0.3032820688574249;0.2994559545706551;2.759608758859235;2.8531219729066373;0.0038261142867698347;0.09351321404740232;-0.00010284267774810116;-1.2174470933030413e-05;0.07606318832535607;0.01984481397155361;0.09351321404740232;0.39679528290482724
10;7330;652653.3499284716;2018-04-26 09:23:17.000000;53.0842399597168;27.864648818969727;1.0001250505447388;0.04997856169939041;0.000528056094343;0.000534763582559;98.7457096117311;972.142678112048;0.0054046873088759995;0.005576646286865999;1.1800721529999772e-06;1.1262583179999681e-06;6.707488215999965e-06;0.00017195897799000001;0.00013559482108199997;3.619493932199998e-05;0.00017195897799000001;0.000706722560549;0.36239665652489456;0.056047026634560425;0.06507493243850605;5.996614077095052;0.0983;0.09829;1850.492413830352;1827.2818653480329;18702.344719026896;19297.39044509858;23.210548482319275;595.0457260716848;4.083513982850508;3.8972969391428833;469.211434642226;125.24873199835218;595.0457260716848;2445.538139902037;0.30261428462149587;0.29881862273595977;3.058427381595195;3.155736257528133;0.0037956618855361167;0.09730887593293842;0.0006677842359290374;0.0006373318346953198;0.0767309725612851;0.02048214580624893;0.09730887593293842;0.39992316055443433
