cycle_index;data_point;test_time;date_time;ir_charge;ir_discharge;end_voltage_charge;end_voltage_discharge;charge_capacity;discharge_capacity;coulombic_efficiency;cumulated_coulombic_efficiency;cumulated_charge_capacity;cumulated_discharge_capacity;discharge_capacity_loss;charge_capacity_loss;coulombic_difference;cumulated_coulombic_difference;cumulated_discharge_capacity_loss;cumulated_charge_capacity_loss;shifted_charge_capacity;shifted_discharge_capacity;cumulated_ric;cumulated_ric_sei;cumulated_ric_disconnect;normalized_cycle_index;charge_c_rate;discharge_c_rate;discharge_capacity_gravimetric;charge_capacity_gravimetric;cumulated_charge_capacity_gravimetric;cumulated_discharge_capacity_gravimetric;coulombic_difference_gravimetric;cumulated_coulombic_difference_gravimetric;discharge_capacity_loss_gravimetric;charge_capacity_loss_gravimetric;cumulated_discharge_capacity_loss_gravimetric;cumulated_charge_capacity_loss_gravimetric;shifted_charge_capacity_gravimetric;shifted_discharge_capacity_gravimetric;discharge_capacity_areal;charge_capacity_areal;cumulated_charge_capacity_areal;cumulated_discharge_capacity_areal;coulombic_difference_areal;cumulated_coulombic_difference_areal;discharge_capacity_loss_areal;charge_capacity_loss_areal;cumulated_discharge_capacity_loss_areal;cumulated_charge_capacity_loss_areal;shifted_charge_capacity_areal;shifted_discharge_capacity_areal
1;1657;163542.3743808788;2018-04-22 15:46:36.000000;38.23750305175781;58.46879577636719;1.0002250671386719;0.049795642495155334;0.001656890868692;0.001947579031597;85.0743842386392;85.0743842386392;0.001656890868692;0.001947579031597;;;0.00029068816290500014;0.00029068816290500014;;;0.00029068816290500014;0.002238267194502;;;;0.7401207299502987;0.04932;0.04925;2716.34642790605;2310.9149973293434;2310.9149973293434;2716.34642790605;405.4314305767069;405.4314305767069;;;;;405.4314305767069;3121.7778584827565;1.102104284233917;0.9376084334796667;0.9376084334796667;1.102104284233917;0.1644958507542503;0.1644958507542503;;;;;0.1644958507542503;1.2666001349881673
2;2734;275949.2914002268;2018-04-23 23:00:03.000000;27.187715530395508;12.740817070007324;1.0002250671386719;0.049795642495155334;0.001665760301519;0.001695758335277;98.23099594240827;183.30538018104747;0.003322651170211;0.003643337366874;0.00025182069631999996;-8.869432827000043e-06;2.9998033758000132e-05;0.00032068619666300027;0.00025182069631999996;-8.869432827000043e-06;0.00032068619666300027;0.0020164445319400003;0.1700888908274788;0.023458072779218908;-0.005353057944004389;1.48420336905358;0.04932;0.04926;2365.124609523283;2323.285459213716;4634.20045654306;5081.471037429333;41.83915030956748;447.27058088627433;351.2218183827666;-12.370461884372721;351.2218183827666;-12.370461884372721;447.27058088627433;2812.395190409558;0.9596029203506421;0.9426275057528706;1.8802359392325374;2.061707204584559;0.01697541459777161;0.1814712653520219;0.14250136388327483;-0.005019072273203841;0.14250136388327483;-0.005019072273203841;0.1814712653520219;1.141074185702664
3;3810;387623.3675840056;2018-04-25 06:01:19.999999;22.260068893432617;13.43874454498291;1.0002250671386719;0.049795642495155334;0.001656069532373;0.001683722754059;98.35761430322566;281.6629944842731;0.004978720702584;0.0053270601209329995;1.2035581218000028e-05;9.690769145999844e-06;2.7653221685999948e-05;0.0003483394183490002;0.000263856277538;8.213363189998012e-07;0.0003483394183490002;0.0020320621724080005;0.19391512973340538;0.03424140848701565;0.0004645672792422404;2.2239572142274344;0.04932;0.04927;2348.33822626546;2309.769455125392;6943.9699116684515;7429.809263694792;38.56877114006806;485.8393520263424;16.78638325782326;13.516004088323841;368.0082016405899;1.1455422039511192;485.8393520263424;2834.177578291803;0.9527921745948068;0.9371436521992765;2.817379591431814;3.0144993791793655;0.015648522395530266;0.19711978774755218;0.006810745755835302;0.005483853553593957;0.14931210963911015;0.00046478128039011607;0.19711978774755218;1.149911962342359
4;4456;441352.11625561095;2018-04-25 21:40:31.000000;31.883020401000977;16.03354263305664;1.0002250671386719;0.049795642495155334;0.001565361407893;0.001602593818682;97.67674064663366;379.3397351309068;0.0065440821104770005;0.0069296539396149995;8.1128935377e-05;9.07081244800002e-05;3.7232410789000145e-05;0.00038557182913800036;0.000344985212915;9.1529460799e-05;0.00038557182913800036;0.0019881656478200004;0.265386371642191;0.0019506666759673413;0.05523770494455726;2.923192420201135;0.09785;0.09841;2235.185286006892;2183.2561347846695;9127.226046453121;9664.994549701685;51.92915122222299;537.7685032485654;113.15294025856782;126.51332034072276;481.1611418991577;127.65886254467388;537.7685032485654;2772.9537892554577;0.9068825884862469;0.8858133539251895;3.703192945357004;3.9213819676656123;0.021069234561057377;0.21818902230860954;0.04590958610855996;0.051330298274087076;0.1952216957476701;0.05179507955447719;0.21818902230860954;1.1250716107948564
5;5072;494204.869966888;2018-04-26 12:21:26.000000;34.56683349609375;14.943949699401855;1.0002250671386719;0.049795642495155334;0.001546011929399;0.001568025136173;98.59611901198684;477.9358541428936;0.008090094039876001;0.008497679075788;3.4568682509000066e-05;1.934947849399995e-05;2.201320677400003e-05;0.0004075850359120004;0.00037955389542400006;0.00011087893929299995;0.0004075850359120004;0.0019756101720850004;0.3015325861826147;0.003652336505419377;0.06759873441445113;3.6137843591874077;0.09782;0.09839;2186.9713158791983;2156.2688413622695;11283.494887815392;11851.965865580883;30.702474516929048;568.4709777654945;48.21397012769385;26.987293422399908;529.3751120268516;154.64615596707378;568.4709777654945;2755.4422936446927;0.8873207157840897;0.8748637889524947;4.578056734309499;4.808702683449702;0.01245692683159502;0.23064594914020456;0.019561872702157167;0.010949564972694807;0.21478356844982727;0.062744644527172;0.23064594914020456;1.1179666649242943
6;5686;546815.6393512822;2018-04-27 02:58:19.000000;34.817955017089844;15.925025939941406;1.0002250671386719;0.049795642495155334;0.001539373531289;0.001559805510618;98.69009442588103;576.6259485687747;0.009629467571165;0.010057484586406;8.219625555000009e-06;6.638398110000044e-06;2.0431979329000064e-05;0.00042801701524100046;0.00038777352097900007;0.000117517337403;0.00042801701524100046;0.0019878225258590006;0.32006517596356043;0.012574377116297566;0.07189261985204971;4.3014109755035435;0.09785;0.09838;2175.507159532875;2147.0100699847962;13430.504957800187;14027.473025113759;28.497089548078428;596.9680673135729;11.46415634632362;9.258771377473003;540.8392683731752;163.9049273445468;596.9680673135729;2772.475226846448;0.8826693592065156;0.8711072240692292;5.449163958378727;5.691372042656218;0.011562135137286354;0.24220808427749094;0.004651356577574098;0.0037565648832654313;0.21943492502740136;0.06650120941043743;0.24220808427749094;1.1248774434840068
7;6296;599043.1515522683;2018-04-27 17:28:48.000000;35.82668685913086;16.108844757080078;1.0002250671386719;0.049795642495155334;0.001528500587798;0.001547652065747;98.76254628718787;675.3884948559626;0.011157968158963;0.011605136652153;1.2153444871000054e-05;1.0872943490999832e-05;1.9151477948999842e-05;0.0004471684931900003;0.0003999269658500001;0.00012839028089399983;0.0004471684931900003;0.0019948205589370004;0.3404013206248153;0.01795223654400122;0.07895584607362527;4.984180729472662;0.09784;0.09841;2158.5563883310388;2131.845252160493;15562.35020996068;16186.029413444798;26.71113617054581;623.6792034841187;16.950771201836016;15.164817824303395;557.7900395750112;179.06974516885018;623.6792034841187;2782.235591815158;0.8757919162667307;0.8649543966823796;6.314118355061106;6.567163958922949;0.01083751958435114;0.25304560386184205;0.0068774429397848915;0.006152827386849679;0.22631236796718626;0.0726540367972871;0.25304560386184205;1.128837520128573
8;6908;651101.8578012467;2018-04-28 07:56:29.000000;36.141361236572266;16.75872802734375;1.0002250671386719;0.049795642495155334;0.001522738162285;0.001542410157301;98.72459378441702;774.1130886403796;0.012680706321248;0.013147546809454;5.241908445999862e-06;5.762425513000137e-06;1.9671995016000117e-05;0.0004668404882060004;0.000405168874296;0.00013415270640699997;0.0004668404882060004;0.0020092506455070005;0.35670089136812244;0.02705237665126705;0.08272583187474403;5.664376451163884;0.0978;0.09841;2151.245342642163;2123.8082258296654;17686.158435790345;18337.27475608696;27.437116812497443;651.1163202966161;7.311045688875865;8.037026330827498;565.1010852638871;187.10677149967768;651.1163202966161;2802.361662938779;0.8728256028785848;0.8616935308882717;7.175811885949379;7.439989561801534;0.011132071990313056;0.2641776758521551;0.002966313388145897;0.0032608657941078133;0.22927868135533216;0.07591490259139493;0.2641776758521551;1.13700327873074
9;7519;703007.9295835297;2018-04-28 22:21:37.000000;36.088321685791016;17.422639846801758;1.0002250671386719;0.049795642495155334;0.001518567360536;0.001538107365871;98.72960719332262;872.8426958337022;0.014199273681784001;0.014685654175325;4.3027914299999595e-06;4.1708017489998275e-06;1.9540005334999985e-05;0.0004863804935410004;0.00040947166572599994;0.0001383235081559998;0.0004863804935410004;0.0020244878594120005;0.37235873547785553;0.03714551279683875;0.08546484627150754;6.342709106980777;0.09781;0.09843;2145.2441114000494;2117.9910845231534;19804.1495203135;20482.51886748701;27.253026876896126;678.3693471735122;6.001231242113542;5.817141306512225;571.1023165060006;192.92391280618992;678.3693471735122;2823.6134585735617;0.8703907210112855;0.8593333399015708;8.03514522585095;8.310380282812819;0.01105738110971468;0.2752350569618698;0.002434881867299337;0.00236019098670096;0.23171356322263148;0.07827509357809588;0.2752350569618698;1.1456257779731553
10;8128;754779.5247638968;2018-04-29 12:44:30.000000;35.754417419433594;17.596965789794922;1.0002250671386719;0.049795642495155334;0.001514148143399;0.00153397614299;98.70741147562102;971.5501073093233;0.015713421825183;0.016219630318315;4.131222880999997e-06;4.4192171370000845e-06;1.9827999591000072e-05;0.0005062084931320005;0.00041360288860699994;0.00014274272529299988;0.0005062084931320005;0.0020401846361220006;0.38813625256049805;0.04729243341059489;0.08837496883297248;7.019067731631798;0.09778;0.09843;2139.482171918453;2111.827470883101;21915.9769911966;22622.001039405466;27.654701035352137;706.0240482088644;5.761939481596424;6.163613640052435;576.8642559875971;199.08752644624235;706.0240482088644;2845.506220127317;0.868052927082306;0.8568325745613042;8.891977800412254;9.178433209895125;0.011220352521001743;0.28645540948287157;0.0023377939289795217;0.002500765340266585;0.23405135715161102;0.08077585891836246;0.28645540948287157;1.1545083365651776
