cycle_index;data_point;test_time;date_time;ir_charge;ir_discharge;end_voltage_charge;end_voltage_discharge;charge_capacity;discharge_capacity;coulombic_efficiency;cumulated_coulombic_efficiency;cumulated_charge_capacity;cumulated_discharge_capacity;discharge_capacity_loss;charge_capacity_loss;coulombic_difference;cumulated_coulombic_difference;cumulated_discharge_capacity_loss;cumulated_charge_capacity_loss;shifted_charge_capacity;shifted_discharge_capacity;cumulated_ric;cumulated_ric_sei;cumulated_ric_disconnect;normalized_cycle_index;charge_c_rate;discharge_c_rate;discharge_capacity_gravimetric;charge_capacity_gravimetric;cumulated_charge_capacity_gravimetric;cumulated_discharge_capacity_gravimetric;coulombic_difference_gravimetric;cumulated_coulombic_difference_gravimetric;discharge_capacity_loss_gravimetric;charge_capacity_loss_gravimetric;cumulated_discharge_capacity_loss_gravimetric;cumulated_charge_capacity_loss_gravimetric;shifted_charge_capacity_gravimetric;shifted_discharge_capacity_gravimetric;discharge_capacity_areal;charge_capacity_areal;cumulated_charge_capacity_areal;cumulated_discharge_capacity_areal;coulombic_difference_areal;cumulated_coulombic_difference_areal;discharge_capacity_loss_areal;charge_capacity_loss_areal;cumulated_discharge_capacity_loss_areal;cumulated_charge_capacity_loss_areal;shifted_charge_capacity_areal;shifted_discharge_capacity_areal
1;1662;190293.0799145472;2018-04-21 00:13:09.000000;53.250057220458984;55.934146881103516;1.0002191066741943;0.049784105271101;0.000721801058533;0.000847943292004;85.1237418043747;85.1237418043747;0.000721801058533;0.000847943292004;;;0.000126142233471;0.000126142233471;;;0.000126142233471;0.000974085525475;;;;0.6744028913923971;0.04878;0.04879;2470.9199478835903;2103.3395166292175;2103.3395166292175;2470.9199478835903;367.580431254373;367.580431254373;;;;;367.580431254373;2838.5003791379636;0.4798377471432924;0.4084558449581846;0.4084558449581846;0.4798377471432924;0.07138190218510784;0.07138190218510784;;;;;0.07138190218510784;0.5512196493284003
2;2661;292639.53414794727;2018-04-22 04:38:59.000000;49.94566345214844;27.498090744018555;1.0002191066741943;0.049784105271101;0.000718374958777;0.000725284011892;99.04740032846212;184.17114213283682;0.0014401760173099998;0.001573227303896;0.000122659280112;3.42609975599996e-06;6.909053114999958e-06;0.00013305128658599996;0.000122659280112;3.42609975599996e-06;0.00013305128658599996;0.0008583352984779999;0.17950698699491618;0.004825364714868677;0.004746598408934479;1.34560466309353;0.0488;0.04871;2113.4888969161493;2093.3558086261364;4196.695325255354;4584.40884479974;20.133088290012825;387.71351954438586;357.4310509674414;9.983708003081258;357.4310509674414;9.983708003081258;387.71351954438586;2501.202416460535;0.4104267933800277;0.40651706909438606;0.8149729140525706;0.8902645405233202;0.003909724285641602;0.07529162647074944;0.06941095376326474;0.001938775863798507;0.06941095376326474;0.001938775863798507;0.07529162647074944;0.48571841985077713
3;3651;394197.0874759062;2018-04-23 08:51:36.000000;45.88064193725586;28.185129165649414;1.0002191066741943;0.049784105271101;0.000715551857823;0.000717071878748;99.78802391084503;283.9591660436819;0.0021557278751329996;0.0022902991826439997;8.212133143999903e-06;2.823100954000039e-06;1.5200209250000943e-06;0.00013457130751100006;0.0001308714132559999;6.249200709999999e-06;0.00013457130751100006;0.0008516431862590001;0.1930544442804103;0.0030114373040101778;0.008676441618957052;2.0141687170695883;0.04883;0.0487;2089.5586131441896;2085.1292485154454;6281.824573770798;6673.967457943929;4.429364628743927;392.14288417312974;23.93028377195963;8.226560110690734;381.36133473940106;18.210268113771992;392.14288417312974;2481.701497317319;0.40577967663977393;0.40491952075064724;1.2198924348032176;1.296044217163094;0.0008601558891266847;0.07615178235987613;0.004647116740253767;0.0015975483437388502;0.07405807050351851;0.003536324207537357;0.07615178235987613;0.48193145899965006
4;4234;442208.18661801494;2018-04-23 22:11:49.000000;51.25755310058594;28.571260452270508;1.0002191066741943;0.049784105271101;0.0006755361138;0.000682167888073;99.02783839741657;382.98700444109846;0.0028312639889329994;0.002972467070717;3.4903990675000016e-05;4.001574402299991e-05;6.631774272999988e-06;0.00014120308178400005;0.00016577540393099993;4.626494473299991e-05;0.00014120308178400005;0.0008233709698570001;0.2511016207273679;-0.04364341990168215;0.06459935424298976;2.645344721871574;0.09893;0.09885;1987.8478411705448;1968.5227477409012;8250.3473215117;8661.815299114474;19.325093429643605;411.4679776027734;101.7107719736446;116.60650077454427;483.0721067130457;134.81676888831626;411.4679776027734;2399.3158187733184;0.3860280583302284;0.38227524177194355;1.6021676765751611;1.6820722754933224;0.0037528165582848307;0.07990459891816096;0.019751618309545502;0.02264427897870365;0.09380968881306402;0.026180603186241005;0.07990459891816096;0.4659326572483894
5;4807;489627.882929868;2018-04-24 11:22:11.000000;51.8349723815918;25.861583709716797;1.0002191066741943;0.049784105271101;0.00066813743715;0.000672450890122;99.35854751099855;482.345551952097;0.0034994014260829993;0.0036449179608389996;9.716997951000048e-06;7.398676650000068e-06;4.313452972000008e-06;0.00014551653475600005;0.00017549240188199997;5.366362138299998e-05;0.00014551653475600005;0.000817967424878;0.2718709780368928;-0.0482104942815331;0.07555165790057117;3.26960789540759;0.09898;0.09885;1959.53235793354;1946.9628888507864;10197.310210362486;10621.347657048012;12.569469082753592;424.03744668552696;28.31548323700488;21.55985889011487;511.38758995005054;156.37662777843113;424.03744668552696;2383.569804619067;0.3805293623091956;0.3780884472432819;1.980256123818443;2.062601637802518;0.0024409150659136995;0.08234551398407465;0.005498696021032804;0.004186794528661673;0.09930838483409682;0.03036739771490268;0.08234551398407465;0.4628748762932703
6;5378;536764.3148162364;2018-04-25 00:27:49.000000;50.880340576171875;26.207441329956055;1.0002191066741943;0.049784105271101;0.000664069452833;0.000667891343509;99.42776759825628;581.7733195503533;0.004163470878916;0.004312809304348;4.559546612999989e-06;4.067984316999938e-06;3.821890675999957e-06;0.000149338425432;0.00018005194849499996;5.7731605699999915e-05;0.000149338425432;0.000817229768941;0.28441545889213676;-0.0485788221543877;0.08164020209942985;3.8900702150198123;0.09889;0.09885;1946.2457681514093;1935.1087192484808;12132.418929610967;12567.593425199422;11.137048902928342;435.17449558845533;13.286589782130841;11.854169602305591;524.6741797321814;168.23079738073673;435.17449558845533;2381.4202637398644;0.3779491867297579;0.3757864390211633;2.3560425628396064;2.440550824532276;0.0021627477085945546;0.08450826169266921;0.002580175579437715;0.00230200822211857;0.10188856041353453;0.03266940593702125;0.08450826169266921;0.4624574484224271
7;5957;583724.3540124642;2018-04-25 14:14:09.000000;50.337188720703125;26.240816116333008;1.0002191066741943;0.049784105271101;0.000661073897619;0.000665130879265;99.39004761732261;681.1633671676759;0.0048245447765349996;0.004977940183613;2.7604642439999936e-06;2.9955552139999866e-06;4.05698164599995e-06;0.00015339540707799996;0.00018281241273899996;6.07271609139999e-05;0.00015339540707799996;0.000818526286343;0.2946816228617576;-0.0469804555566293;0.0861511086035923;4.5077336871189075;0.09889;0.0988;1938.2017323883586;1926.3796247405614;14058.798554351528;14505.795157587781;11.822107647797267;446.99660323625255;8.044035763050536;8.729094507919463;532.7182154952319;176.9598918886562;446.99660323625255;2385.198335624611;0.37638708351318534;0.3740913015292067;2.7301338643688133;2.8169379080454613;0.0022957819839786162;0.08680404367664783;0.0015621032165725542;0.0016951374919566158;0.10345066363010709;0.034364543428977865;0.08680404367664783;0.4631911271898332
8;6526;630591.2646186313;2018-04-26 03:15:18.000000;49.51810836791992;26.911224365234375;1.0002191066741943;0.049784105271101;0.0006600861046;0.000663925437768;99.42172223722785;780.5850894049038;0.005484630881135;0.005641865621381;1.2054414969999826e-06;9.877930190000045e-07;3.839333167999972e-06;0.00015723474024599993;0.00018401785423599994;6.17149539329999e-05;0.00015723474024599993;0.000821160178014;0.30231280400984073;-0.04266695874595443;0.08764533341349291;5.124474231133823;0.09891;0.09887;1934.689057108029;1923.501180511987;15982.299734863516;16440.48421469581;11.18787659604185;458.1844798322944;3.512675280329789;2.8784442285743705;536.2308907755618;179.83833611723057;458.1844798322944;2392.8735369403234;0.37570494316525416;0.37353232502529377;3.103666189394107;3.1926428512107154;0.0021726181399603973;0.08897666181660822;0.0006821403479311693;0.0005589765039129501;0.10413280397803826;0.03492351993289081;0.08897666181660822;0.4646816049818624
9;7096;677475.1415849577;2018-04-26 16:16:44.000000;50.32173156738281;27.593412399291992;1.0002191066741943;0.049784105271101;0.000659392044967;0.000663522505228;99.37749507688805;879.9625844817919;0.006144022926102;0.006305388126609;4.0293254000001427e-07;6.940596330000121e-07;4.13046026099997e-06;0.0001613652005069999;0.00018442078677599995;6.240901356599992e-05;0.0001613652005069999;0.0008248877057349999;0.30918068498689466;-0.03746097030891203;0.08869680174188713;5.74056629199987;0.09883;0.09867;1933.5149054163699;1921.4786799410497;17903.778414804565;18373.99912011218;12.036225475320045;470.2207053076145;1.1741516916590473;2.0225005709372414;537.4050424672207;181.8608366881678;470.2207053076145;2403.7356107239843;0.375476929990237;0.3731395676158982;3.476805757010005;3.568119781200952;0.002337362374338792;0.09131402419094702;0.00022801317501715593;0.00039275740939555086;0.10436081715305541;0.035316277342286366;0.09131402419094702;0.46679095418118405
10;7666;724362.5616975155;2018-04-27 05:18:13.000000;48.376277923583984;27.77318000793457;1.0002191066741943;0.049784105271101;0.00066067985491;0.000663944145825;99.50834856583548;979.4709330476273;0.006804702781011999;0.006969332272434;-4.216405970000484e-07;-1.2878099429999195e-06;3.2642909150000987e-06;0.000164629491422;0.0001839991461789999;6.1121203623e-05;0.000164629491422;0.000828573637247;0.31349170199065957;-0.030557488696197347;0.08674377553717401;6.3578615968053045;0.09887;0.09888;1934.743572677246;1925.231378154772;19829.009792959336;20308.742692789427;9.512194522473884;479.73289983008834;-1.2286672608762745;-3.752698213722434;536.1763752063445;178.10813847444535;479.73289983008834;2414.4764725073346;0.3757155297599109;0.3738683189694674;3.850674075979472;3.9438353109608633;0.0018472107904434901;0.0931612349813905;-0.00023859976967386835;-0.0007287513535691703;0.10412221738338154;0.03458752598871719;0.0931612349813905;0.4688767647413014
