cycle_index;data_point;test_time;date_time;ir_charge;ir_discharge;end_voltage_charge;end_voltage_discharge;charge_capacity;discharge_capacity;coulombic_efficiency;cumulated_coulombic_efficiency;cumulated_charge_capacity;cumulated_discharge_capacity;discharge_capacity_loss;charge_capacity_loss;coulombic_difference;cumulated_coulombic_difference;cumulated_discharge_capacity_loss;cumulated_charge_capacity_loss;shifted_charge_capacity;shifted_discharge_capacity;cumulated_ric;cumulated_ric_sei;cumulated_ric_disconnect;normalized_cycle_index;charge_c_rate;discharge_c_rate;discharge_capacity_gravimetric;charge_capacity_gravimetric;cumulated_charge_capacity_gravimetric;cumulated_discharge_capacity_gravimetric;coulombic_difference_gravimetric;cumulated_coulombic_difference_gravimetric;discharge_capacity_loss_gravimetric;charge_capacity_loss_gravimetric;cumulated_discharge_capacity_loss_gravimetric;cumulated_charge_capacity_loss_gravimetric;shifted_charge_capacity_gravimetric;shifted_discharge_capacity_gravimetric;discharge_capacity_areal;charge_capacity_areal;cumulated_charge_capacity_areal;cumulated_discharge_capacity_areal;coulombic_difference_areal;cumulated_coulombic_difference_areal;discharge_capacity_loss_areal;charge_capacity_loss_areal;cumulated_discharge_capacity_loss_areal;cumulated_charge_capacity_loss_areal;shifted_charge_capacity_areal;shifted_discharge_capacity_areal
1;1669;164193.74448854823;2018-04-22 15:57:15.000000;45.88339614868164;54.33155822753906;1.000097393989563;0.049700282514095306;0.001317747922672;0.001569284191584;83.97127363794412;83.97127363794412;0.001317747922672;0.001569284191584;;;0.000251536268912;0.000251536268912;;;0.000251536268912;0.001820820460496;;;;0.7373341693537586;0.04911;0.04921;2741.6690062436614;2302.2143834795684;2302.2143834795684;2741.6690062436614;439.454622764093;439.454622764093;;;;;439.454622764093;3181.1236290077545;0.888033195401111;0.745692784506046;0.745692784506046;0.888033195401111;0.14234041089506502;0.14234041089506502;;;;;0.14234041089506502;1.0303736062961761
2;2742;276401.03067854437;2018-04-23 23:07:22.000000;34.9803581237793;19.07061004638672;1.000097393989563;0.049700282514095306;0.00132187217266;0.001350517353868;97.8789475658378;181.85022120378193;0.0026396200953319997;0.002919801545452;0.00021876683771599988;-4.124249988000017e-06;2.8645181208000097e-05;0.0002801814501200001;0.00021876683771599988;-4.124249988000017e-06;0.0002801814501200001;0.0016306988039880002;0.18775367782202393;0.024867754015922464;-0.0031297715724243128;1.4769760262301375;0.04912;0.04922;2359.465284459857;2309.419788610609;4611.634172090177;5101.134290703519;50.04549584924778;489.5001186133408;382.20372178380455;-7.205405131040719;382.20372178380455;-7.205405131040719;489.5001186133408;2848.9654030731976;0.7642364892425907;0.748026632584755;1.4937194170908008;1.6522696846437017;0.01620985665783568;0.1585502675529007;0.1237967061585204;-0.0023338480787089516;0.1237967061585204;-0.0023338480787089516;0.1585502675529007;0.9227867567954914
3;3819;388839.0210565454;2018-04-25 06:21:23.000000;28.393102645874023;21.11301040649414;1.000097393989563;0.049700282514095306;0.00132776197007;0.001350621992358;98.30744483524293;280.1576660390249;0.003967382065402;0.00427042353781;-1.0463848999992323e-07;-5.889797410000034e-06;2.2860022287999986e-05;0.0003030414724080001;0.00021866219922599996;-1.0014047398000051e-05;0.0003030414724080001;0.001653663464766;0.20496818938270642;0.04661707312001316;-0.0075854198051486695;2.219913467038957;0.04912;0.04924;2359.648096538403;2319.7097508103507;6931.343922900528;7460.782387241921;39.93834572805231;529.4384643413931;-0.18281207854604875;-10.289962199741517;382.0209097052585;-17.495367330782237;529.4384643413931;2889.0865608797963;0.7642957025151992;0.751359576128262;2.245078993219063;2.416565387158901;0.012936126386937231;0.17148639393983794;-5.921327260856761e-05;-0.003332943543507015;0.12373749288591182;-0.005666791622215966;0.17148639393983794;0.9357820964550372
4;4467;442711.7262784488;2018-04-25 22:02:58.000000;38.745872497558594;22.945714950561523;1.000097393989563;0.049700282514095306;0.001251374368137;0.001288484208124;97.11988398825386;377.2775500272787;0.005218756433539;0.005558907745934;6.213778423400009e-05;7.6387601933e-05;3.710983998699989e-05;0.00034015131239499997;0.00028079998346000005;6.637355453499995e-05;0.00034015131239499997;0.0016286355205189999;0.27971624397246664;0.017035142901052777;0.04994567662245335;2.920108902300928;0.09819;0.09805;2251.0882588336367;2186.2543054524317;9117.59822835296;9711.870646075558;64.83395338120516;594.2724177225983;108.55983770476608;133.45544535791893;490.58074741002457;115.9600780271367;594.2724177225983;2845.3606765562354;0.7291329095778881;0.7081330359022248;2.9532120291212873;3.1456982967367892;0.020999873675663323;0.19248626761550125;0.03516279293731113;0.04322654022603722;0.15890028582322296;0.037559748603821254;0.19248626761550125;0.9216191771933894
5;5084;495794.79808774183;2018-04-26 12:47:43.000000;42.85860824584961;21.980274200439453;1.000097393989563;0.049700282514095306;0.001242044138316;0.001258978086368;98.6549449720088;475.93249499928754;0.006460800571855;0.006817885832302001;2.950612175599992e-05;9.330229821000006e-06;1.6933948051999978e-05;0.00035708526044699995;0.00031030610521599997;7.570378435599995e-05;0.00035708526044699995;0.001616063346815;0.31682749620079714;0.023111436634254384;0.05740166266353752;3.6150836901715553;0.09815;0.09838;2199.5386287878373;2169.9536238687183;11287.551852221679;11911.409274863398;29.585004919119154;623.8574226417174;51.549630045799525;16.300681583713516;542.1303774558241;132.26075961085022;623.8574226417174;2823.396051429555;0.7124358602305505;0.7028532058713072;3.656065234992595;3.8581341569673397;0.009582654359243265;0.20206892197474452;0.016697049347337605;0.005279830030917549;0.17559733517056056;0.0428395786347388;0.20206892197474452;0.914504782205295
6;5699;548780.9376608292;2018-04-27 03:30:51.000000;43.6540641784668;21.869754791259766;1.000097393989563;0.049700282514095306;0.001239365506279;0.001256827776773;98.61060752978935;574.5431025290769;0.007700166078134;0.008074713609075001;2.1503095950000523e-06;2.6786320370000925e-06;1.7462270494000018e-05;0.00037454753094099996;0.000312456414811;7.838241639300005e-05;0.00037454753094099996;0.001631375307714;0.3326180623199621;0.03501410418119359;0.059558294585356227;4.3085596732298015;0.09817;0.09835;2195.7818604459035;2165.273832614617;13452.825684836294;14107.191135309302;30.50802783128678;654.3654504730042;3.7567683419338356;4.679791254101457;545.887145797758;136.94055086495166;654.3654504730042;2850.147310918908;0.7112190339150938;0.7013374102111726;4.357402645203767;4.569353190882434;0.009881623703921266;0.21195054567866578;0.001216826315456675;0.0015157956601346751;0.17681416148601725;0.044355374294873476;0.21195054567866578;0.9231695795937596
7;6314;601518.375149963;2018-04-27 18:09:50.000000;44.93225860595703;22.841379165649414;1.000097393989563;0.049700282514095306;0.0012340468504;0.001250400725742;98.69210925703074;673.2352117861077;0.008934212928534;0.009325114334817001;6.427051030999994e-06;5.318655879000015e-06;1.635387534200004e-05;0.000390901406283;0.000318883465842;8.370107227200006e-05;0.000390901406283;0.001641302132025;0.35099918254445195;0.04391803075256602;0.06384972907506414;4.999059649536568;0.0982;0.09838;2184.5532718271315;2155.9817018096724;15608.807386645967;16291.744407136433;28.57157001745911;682.9370204904633;11.228588618772084;9.292130804944415;557.11573441653;146.2326816698961;682.9370204904633;2867.4902923175946;0.7075820670134493;0.6983276666600698;5.0557303118638375;5.276935257895883;0.009254400353379436;0.2212049460320452;0.0036369669016444845;0.0030097435511026558;0.18045112838766172;0.047365117845976135;0.2212049460320452;0.9287870130454945
8;6928;654148.7242677426;2018-04-28 08:47:03.000000;45.086631774902344;23.0251407623291;1.000097393989563;0.049700282514095306;0.001230821197553;0.001247790418625;98.64005839292314;771.8752701790308;0.010165034126087;0.010572904753442;2.6103071169999124e-06;3.2256528469999136e-06;1.696922107200004e-05;0.00040787062735500004;0.0003214937729589999;8.692672511899997e-05;0.00040787062735500004;0.00165566104598;0.36686529668967544;0.05505502139481379;0.06646361107310528;5.687754740385617;0.09813;0.09837;2179.9928498475842;2150.346220051206;17759.153606697175;18471.737256984015;29.64662979637811;712.5836502868415;4.560421979547375;5.635481758466379;561.6761563960774;151.86816342836246;712.5836502868415;2892.5765001344257;0.7061049353488857;0.6965023205434531;5.75223263240729;5.9830401932447685;0.009602614805432739;0.23080756083747797;0.0014771316645635214;0.0018253461166168228;0.18192826005222523;0.049190463962592954;0.23080756083747797;0.9369124961863637
9;7541;706760.4935093692;2018-04-28 23:23:56.000000;45.866214752197266;23.544416427612305;1.000097393989563;0.049700282514095306;0.001230825738634;0.001247387591613;98.67227691774744;870.5475470967783;0.011395859864721001;0.011820292345055002;4.0282701199993894e-07;-4.541080999946601e-09;1.6561852979000155e-05;0.0004244324803340002;0.00032189659997099987;8.692218403800003e-05;0.0004244324803340002;0.0016718200719470003;0.38064851721328;0.06851464826257964;0.06645992160057346;6.376452372156288;0.09814;0.09839;2179.2890778096057;2150.3541536945186;19909.507760391694;20651.026334793623;28.934924115087185;741.5185744019286;0.7037720379781569;-0.007933643312769677;562.3799284340555;151.8602297850497;741.5185744019286;2920.8076522115343;0.705876981890501;0.696504890269633;6.448737522676924;6.68891717513527;0.009372091620867936;0.2401796524583459;0.0002279534583848125;-2.569726179990003e-06;0.18215621351061007;0.04918789423641297;0.2401796524583459;0.9460566343488469
10;8155;759305.8625641456;2018-04-29 13:59:44.000000;45.39521408081055;23.866939544677734;1.000097393989563;0.049700282514095306;0.00122871867309;0.001246067862801;98.60768500424999;969.1552321010283;0.012624578537811001;0.013066360207856002;1.3197288120001763e-06;2.107065544000022e-06;1.7349189711e-05;0.0004417816700450002;0.00032321632878300004;8.902924958200005e-05;0.0004417816700450002;0.0016878495328460001;0.39581631711947907;0.08089830558186518;0.06817183375666673;7.063971014079258;0.09812;0.09839;2176.983402648974;2146.6729362789033;22056.1806966706;22828.009737442597;30.310466370070518;771.8290407719992;2.3056751606319708;3.681217415615302;564.6856035946876;155.541447200665;771.8290407719992;2948.812443420973;0.7051301681519387;0.695312535081202;7.144050057758126;7.39404734328721;0.009817633070736714;0.24999728552908262;0.000746813738562214;0.0011923551884309937;0.18290302724917226;0.05038024942484396;0.24999728552908262;0.9551274536810214
