cycle_index;data_point;test_time;date_time;ir_charge;ir_discharge;end_voltage_charge;end_voltage_discharge;charge_capacity;discharge_capacity;coulombic_efficiency;cumulated_coulombic_efficiency;cumulated_charge_capacity;cumulated_discharge_capacity;discharge_capacity_loss;charge_capacity_loss;coulombic_difference;cumulated_coulombic_difference;cumulated_discharge_capacity_loss;cumulated_charge_capacity_loss;shifted_charge_capacity;shifted_discharge_capacity;cumulated_ric;cumulated_ric_sei;cumulated_ric_disconnect;normalized_cycle_index;charge_c_rate;discharge_c_rate;discharge_capacity_gravimetric;charge_capacity_gravimetric;cumulated_charge_capacity_gravimetric;cumulated_discharge_capacity_gravimetric;coulombic_difference_gravimetric;cumulated_coulombic_difference_gravimetric;discharge_capacity_loss_gravimetric;charge_capacity_loss_gravimetric;cumulated_discharge_capacity_loss_gravimetric;cumulated_charge_capacity_loss_gravimetric;shifted_charge_capacity_gravimetric;shifted_discharge_capacity_gravimetric;discharge_capacity_areal;charge_capacity_areal;cumulated_charge_capacity_areal;cumulated_discharge_capacity_areal;coulombic_difference_areal;cumulated_coulombic_difference_areal;discharge_capacity_loss_areal;charge_capacity_loss_areal;cumulated_discharge_capacity_loss_areal;cumulated_charge_capacity_loss_areal;shifted_charge_capacity_areal;shifted_discharge_capacity_areal
1;1647;187243.26845909643;2018-04-20 23:22:06.000000;68.34117889404297;65.45014190673828;1.000049352645874;0.04995051771402359;0.000701094266885;0.000812644017972;86.27323297532185;86.27323297532185;0.000701094266885;0.000812644017972;;;0.00011154975108700006;0.00011154975108700006;;;0.00011154975108700006;0.0009241937690590001;;;;0.666753268556683;0.04978;0.04883;2410.3440518075813;2079.4817393227668;2079.4817393227668;2410.3440518075813;330.8623124848142;330.8623124848142;;;;;330.8623124848142;2741.2063642923954;0.4598624442108545;0.39673819786004;0.39673819786004;0.4598624442108545;0.06312424635081453;0.06312424635081453;;;;;0.06312424635081453;0.522986690561669
2;2629;287507.5870880833;2018-04-22 03:13:13.000000;51.86960220336914;32.4153938293457;1.000049352645874;0.04995051771402359;0.000700774883176;0.000702868075846;99.70219266716866;185.9754256424905;0.0014018691500610001;0.001515512093818;0.00010977594212600004;3.1938370899993896e-07;2.093192669999958e-06;0.00011364294375700002;0.00010977594212600004;3.1938370899993896e-07;0.00011364294375700002;0.000816511019603;0.1595636137391918;0.0025300577180314837;0.00045555030769111574;1.333202797456721;0.04981;0.04878;2084.742948146846;2078.5344307765804;4158.016170099348;4495.086999954427;6.2085173702656435;337.07082985507986;325.60110366073513;0.947308546186543;325.60110366073513;0.947308546186543;337.07082985507986;2421.813778001926;0.39774196839957365;0.396557463651932;0.7932956615119721;0.8576044126104281;0.0011845047476416561;0.06430875109845617;0.06212047581128082;0.00018073420810795998;0.06212047581128082;0.00018073420810795998;0.06430875109845617;0.46205071949802984
3;3604;387164.41602993314;2018-04-23 06:54:10.000000;45.149417877197266;30.37730598449707;1.000049352645874;0.04995051771402359;0.000699563015953;0.000695650420213;100.56243705549721;286.53786269798775;0.002101432166014;0.002211162514031;7.21765563299994e-06;1.2118672229999945e-06;-3.912595739999987e-06;0.00010973034801700003;0.00011699359775899998;1.5312509319999335e-06;0.00010973034801700003;0.0008053807682300001;0.16427990704870798;-0.00478250882227497;0.0021848748769560124;1.9984998188122574;0.04983;0.04874;2063.3350094452085;2074.9399701173757;6232.956140216723;6558.4220093996355;-11.604960672166776;325.4658691829131;21.407938701637384;3.594460659204967;347.0090423623725;4.5417692053915095;325.4658691829131;2388.8008786281216;0.39365761081192213;0.39587168708691334;1.1891673485988854;1.2512620234223504;-0.0022140762749912534;0.062094674823464924;0.0040843575876515666;0.0006857765650186572;0.06620483339893239;0.0008665107731266172;0.062094674823464924;0.45575228563538706
4;4186;434841.2342651674;2018-04-23 20:08:49.000000;50.1091423034668;30.306459426879883;1.000049352645874;0.04995051771402359;0.000658651448362;0.000661949985449;99.50169391049045;386.03955660847816;0.002760083614376;0.00287311249948;3.370043476400009e-05;4.0911567591000054e-05;3.2985370869999774e-06;0.00011302888510400001;0.00015069403252300007;4.244281852299999e-05;0.00011302888510400001;0.000774978870553;0.2171685975701718;-0.0585489739530261;0.06066647933294213;2.624889202919133;0.09854;0.0987;1963.3777825656578;1953.5941515150555;8186.550291731778;8521.799791965293;9.783631050602335;335.24950023351545;99.95722687955089;121.34581860232001;446.9662692419234;125.88758780771151;335.24950023351545;2298.6272827991734;0.3745870658269032;0.3727204756673726;1.561887824266258;1.6258490892492534;0.0018665901595306224;0.06396126498299555;0.019070544985018898;0.023151211419540775;0.08527537838395129;0.02401772219266739;0.06396126498299555;0.43854833080989875
5;4760;482060.6959758613;2018-04-24 09:15:50.000000;52.25624465942383;27.290952682495117;1.000049352645874;0.04995051771402359;0.000653155600341;0.000654194908336;99.84113175114071;485.8806883596189;0.003413239214717;0.003527307407816;7.755077112999928e-06;5.495848020999994e-06;1.039307995000043e-06;0.00011406819309900005;0.000158449109636;4.793866654399998e-05;0.00011406819309900005;0.0007682631014350001;0.2305207053198332;-0.06531513234694282;0.06901057093809629;3.246051936624525;0.09855;0.09867;1940.3758240484751;1937.2931829555205;10123.843474687299;10462.175616013768;3.082641092954838;338.33214132647026;23.001958517182537;16.30096855953504;469.96822775910596;142.18855636724655;338.33214132647026;2278.7079653749456;0.37019858989235116;0.3696104618752874;1.9314982861415453;1.9960476791416046;0.0005881280170637642;0.06454939300005931;0.004388475934552048;0.0031100137920851896;0.08966385431850334;0.02712773598475258;0.06454939300005931;0.43474798289241046
6;5332;529204.6083107992;2018-04-24 22:21:36.000000;50.9996452331543;27.966222763061523;1.000049352645874;0.04995051771402359;0.000651642156031;0.000652777240734;99.82611454073924;585.7068029003581;0.004064881370748;0.00418008464855;1.4176676020000254e-06;1.5134443100000032e-06;1.1350847030000208e-06;0.00011520327780200007;0.00015986677723800002;4.9452110853999984e-05;0.00011520327780200007;0.0007679805185360001;0.23442904248124974;-0.06589441178173974;0.0713276976827952;3.8657753575468385;0.09844;0.09868;1936.170948855462;1932.8042291089712;12056.64770379627;12398.34656486923;3.366719746490699;341.69886107296094;4.204875193013252;4.488953846549114;474.17310295211917;146.67751021379567;341.69886107296094;2277.869809928423;0.36939635413583727;0.36875402758895565;2.300252313730501;2.365444033277442;0.0006423265468815972;0.0651917195469409;0.000802235756513912;0.0008564342863317451;0.09046609007501724;0.027984170271084324;0.0651917195469409;0.43458807368277813
7;5916;576253.4830482807;2018-04-25 12:09:25.000000;50.74105453491211;28.802589416503906;1.000049352645874;0.04995051771402359;0.000650375240147;0.000651465321335;99.8326724151999;685.539475315558;0.0047152566108950005;0.004831549969885;1.3119193990000083e-06;1.2669158840000272e-06;1.0900811880000397e-06;0.00011629335899000011;0.00016117869663700003;5.071902673800001e-05;0.00011629335899000011;0.0007677586803250001;0.2381151155272756;-0.06616577957825716;0.07327188725413374;4.48429391865708;0.09847;0.09867;1932.2797282842184;1929.0464912832986;13985.69419507957;14330.626293153447;3.2332370009198392;344.9320980738808;3.891220571243534;3.7577378256726743;478.0643235233627;150.43524803946835;344.9320980738808;2277.211826358099;0.3686539596210319;0.36803709985412814;2.6682894135846293;2.7340979928984734;0.0006168597669037937;0.0658085793138447;0.0007423945148053328;0.0007169277348275292;0.09120848458982259;0.028701098005911856;0.0658085793138447;0.43446253893487663
8;6487;623369.8447203465;2018-04-26 01:14:43.000000;48.089900970458984;28.690448760986328;1.000049352645874;0.04995051771402359;0.000651283554563;0.000652308437856;99.84288363701555;785.3823589525736;0.005366540165458001;0.005483858407741;-8.431165210000344e-07;-9.083144160000568e-07;1.0248832930000173e-06;0.00011731824228300013;0.000160335580116;4.9810712321999955e-05;0.00011731824228300013;0.0007696266801390002;0.2383945953733394;-0.06319334522088044;0.07187528670735592;5.103676303127961;0.0984;0.09871;1934.7804553509661;1931.7405986677848;15917.434793747356;16265.406748504416;3.0398566831813856;347.9719547570622;-2.500727066747638;-2.694107384486092;475.5635964566151;147.74114065498225;347.9719547570622;2282.7524101080285;0.36913106597452383;0.3685511006690189;3.0368405142536488;3.103229058872998;0.0005799653055048961;0.0663885446193496;-0.0004771063534919013;-0.0005140008148907989;0.09073137823633068;0.028187097191021058;0.0663885446193496;0.4355196105938734
9;7059;670429.5008175838;2018-04-26 14:19:04.000000;48.018287658691406;29.530467987060547;1.000049352645874;0.04995051771402359;0.000650119529974;0.000651297530142;99.8191302571433;885.2014892097169;0.006016659695432001;0.006135155937883;1.0109077140000667e-06;1.164024589000003e-06;1.1780001679999536e-06;0.00011849624245100008;0.00016134648783000007;5.097473691099996e-05;0.00011849624245100008;0.000769793772593;0.2417555091668233;-0.06317188670422968;0.07366256443123619;5.7219516792605125;0.09847;0.09855;1931.782050955586;1928.2880417274707;17845.722835474826;18197.18879946;3.4940092281154915;351.46596398517767;2.99840439537994;3.4525569403140466;478.56200085199504;151.1936975952963;351.46596398517767;2283.248014940764;0.3685590092289493;0.3678923974966816;3.40473291175033;3.471788068101947;0.0006666117322676471;0.06705515635161724;0.0005720567455745373;0.0006587031723372882;0.09130343498190521;0.028845800363358345;0.06705515635161724;0.43561416558056654
10;7632;717492.5534725955;2018-04-27 03:23:29.000000;46.1842155456543;30.179983139038086;1.000049352645874;0.04995051771402359;0.000650604047564;0.000651877257839;99.80468558157395;985.0061747912908;0.006667263742996001;0.006787033195722;-5.79727696999998e-07;-4.84517589999971e-07;1.2732102749999806e-06;0.00011976945272600006;0.00016076676013300007;5.0490219320999986e-05;0.00011976945272600006;0.000771646710565;0.24282220928276618;-0.06046818717828213;0.07291728980455431;6.3406878403431985;0.09843;0.09876;1933.5015531917795;1929.7251458779042;19775.447981352732;20130.69035265178;3.7764073138753322;355.242371299053;-1.7195022361934116;-1.4371041504335709;476.8424986158016;149.75659344486272;355.242371299053;2288.7439244908323;0.3688870679973931;0.36816657836588507;3.7728994901162154;3.84067513609934;0.0007204896315080473;0.06777564598312528;-0.0003280587684438408;-0.00027418086920344057;0.09097537621346137;0.028571619494154904;0.06777564598312528;0.4366627139805184
11;8204;764525.7224697134;2018-04-27 16:27:24.000000;46.1158447265625;30.235197067260742;1.000049352645874;0.04995051771402359;0.000649916607887;0.000651198428622;99.80315973155642;1084.8093345228472;0.007317180350883001;0.007438231624344;6.788292170000192e-07;6.874396769999697e-07;1.281820734999931e-06;0.000121051273461;0.0001614455893500001;5.1177658997999956e-05;0.000121051273461;0.0007722497020829999;0.24583579328880034;-0.05955460377801672;0.07397390738874225;6.958770233918111;0.09845;0.09863;1931.488110738253;1927.68616435612;21703.13414570885;22062.178463390035;3.8019463821330435;359.04431768118604;2.013442453526521;2.0389815217842324;478.85594106932814;151.79557496664697;359.04431768118604;2290.532428419439;0.36850292924041267;0.36777756708527337;4.140677057201489;4.209178065339753;0.0007253621551392905;0.06850100813826458;0.0003841387569804584;0.00038901128061170166;0.09135951497044184;0.028960630774766606;0.06850100813826458;0.43700393737867727
12;8777;811499.5633060718;2018-04-28 05:30:20.000000;45.198062896728516;30.58872413635254;1.000049352645874;0.04995051771402359;0.000649603332153;0.000650940172731;99.79462927101405;1184.603963793861;0.007966783683036001;0.008089171797075;2.58255890999955e-07;3.1327573400002657e-07;1.3368405780000026e-06;0.000122388114039;0.00016170384524100004;5.149093473199998e-05;0.000122388114039;0.00077332828677;0.24829010273349342;-0.05797968657851973;0.07445593189803822;7.576554696630557;0.09861;0.09864;1930.7221104515968;1926.7569723786696;23629.89111808752;23992.900573841634;3.9651380729272026;363.0094557541133;0.7660002866562128;0.9291919774503716;479.62194135598435;152.72476694409733;363.0094557541133;2293.73156620571;0.3683567863012651;0.36760028928396904;4.508277346485458;4.577534851641018;0.0007564970172960955;0.06925750515556067;0.00014614293914753623;0.0001772778013043412;0.09150565790958937;0.02913790857607095;0.06925750515556067;0.4376142914568258
13;9349;858467.9232885698;2018-04-28 18:33:10.000000;44.47028350830078;31.275148391723633;1.000049352645874;0.04995051771402359;0.000649089313627;0.000650335039799;99.80844855408914;1284.4124123479503;0.008615872996663;0.008739506836874;6.051329320000279e-07;5.140185260000315e-07;1.2457261720000062e-06;0.000123633840211;0.00016230897817300007;5.2004953258000014e-05;0.000123633840211;0.00077396888001;0.25113931703457415;-0.05685329511809594;0.07524721251585217;8.19385031847167;0.0986;0.0985;1928.927254978669;1925.2323669311884;25555.123485018707;25921.8278288203;3.6948880474804646;366.7043438015937;1.7948554729278825;1.5246054474811446;481.41679682891225;154.24937239157848;366.7043438015937;2295.6315987802627;0.3680143511106678;0.36730941429995584;4.8755867607854135;4.945549202751685;0.0007049368107119844;0.06996244196627266;0.00034243519059731987;0.00029087498401320864;0.09184809310018668;0.029428783560084156;0.06996244196627266;0.4379767930769405
14;9921;905373.0041020736;2018-04-29 07:34:57.000000;43.02273941040039;31.2866268157959;1.000049352645874;0.04995051771402359;0.000648581923227;0.000650023868684;99.77817038320158;1384.1905827311518;0.009264454919890001;0.009389530705558;3.111711150000085e-07;5.073903999999393e-07;1.441945456999937e-06;0.00012507578566799994;0.00016262014928800008;5.2512343657999954e-05;0.00012507578566799994;0.0007750996543519999;0.2538402035461758;-0.055413500875023496;0.07602890833081595;8.810663402908597;0.09867;0.09857;1928.0043054096727;1923.7274208471256;27478.850905865835;27849.83213422997;4.276884562547183;370.9812283641409;0.922949568996207;1.5049460840629256;482.3397463979084;155.7543184756414;370.9812283641409;2298.9855337738136;0.3678382642800912;0.36702229006800074;5.242609050853415;5.3133874670317764;0.0008159742120904603;0.07077841617836313;0.0001760868305765972;0.00028712423195507324;0.09202417993076328;0.02971590779203923;0.07077841617836313;0.4386166804584543
15;10492;952292.026095703;2018-04-29 20:36:58.000000;41.63147735595703;31.808815002441406;1.000049352645874;0.04995051771402359;0.000648087764275;0.000649415087286;99.79561253857729;1483.986195269729;0.009912542684165;0.010038945792844;6.087813979999395e-07;4.941589519999717e-07;1.3273230109999692e-06;0.0001264031086789999;0.00016322893068600002;5.3006502609999925e-05;0.0001264031086789999;0.0007758181959649999;0.2568253382526241;-0.05412890747338409;0.07679081509124693;9.427006533286567;0.09856;0.09849;1926.1986283984986;1922.2617199199558;29401.11262578579;29776.03076262847;3.9369084785428616;374.9181368426838;1.8056770111741802;1.4657009271698587;484.14542340908264;157.22001940281126;374.9181368426838;2301.1167652411823;0.3674937644800767;0.3667426533039691;5.609351704157383;5.6808812315118535;0.0007511111761076027;0.07152952735447073;0.00034449980001452393;0.0002796367640316662;0.09236867973077781;0.029995544556070893;0.07152952735447073;0.4390232918345474
16;11063;999157.4566210181;2018-04-30 09:38:05.000000;40.0656623840332;31.814659118652344;1.000049352645874;0.04995051771402359;0.000647781220714;0.00064913390467;99.79161711531802;1583.7778123850471;0.010560323904879;0.010688079697514;2.8118261599999195e-07;3.065435610000774e-07;1.3526839560000547e-06;0.00012775579263499997;0.000163510113302;5.3313046171e-05;0.00012775579263499997;0.000776889697305;0.25934639583473695;-0.052514711908111744;0.0772638120800776;10.043058135219782;0.09865;0.09857;1925.3646262635432;1921.3524959146891;31322.465121700476;31701.39538889201;4.012130348854201;378.93026719153795;0.8340021349552688;0.9092240052666076;484.9794255440379;158.12924340807785;378.93026719153795;2304.2948934550814;0.3673346476685286;0.3665691851332805;5.975920889290664;6.048215879180382;0.0007654625352480303;0.07229498988971876;0.0001591168115481208;0.00017346817068854847;0.09252779654232593;0.030169012726759443;0.07229498988971876;0.4396296375582473
