;index;cycle;step;sub_step;point_avr;point_std;point_min;point_max;point_first;point_last;point_delta;test_time_avr;test_time_std;test_time_min;test_time_max;test_time_first;test_time_last;test_time_delta;step_time_avr;step_time_std;step_time_min;step_time_max;step_time_first;step_time_last;step_time_delta;current_avr;current_std;current_min;current_max;current_first;current_last;current_delta;voltage_avr;voltage_std;voltage_min;voltage_max;voltage_first;voltage_last;voltage_delta;charge_avr;charge_std;charge_min;charge_max;charge_first;charge_last;charge_delta;discharge_avr;discharge_std;discharge_min;discharge_max;discharge_first;discharge_last;discharge_delta;ir_avr;ir_std;ir_min;ir_max;ir_first;ir_last;ir_delta;rate_avr;type;sub_type;info
0;0;1;1;1;133.0;76.643112323722;1;265;1;265;26400.0;39900.86357753514;22992.410563179994;300.0025816898273;79267.56310479353;300.0025816898273;79267.56310479353;26322.29365437537;39900.79753708767;22992.41056318631;299.93654113551;79267.49706423921;299.93654113551;79267.49706423921;26328.089343214273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5468713301532673;0.11974549641306244;2.220625400543213;2.6895394325256348;2.220625400543213;2.689232110977173;21.102465563049428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ocvrlx_up;;
1;1;1;2;1;266.0;;266;266;266;266;0.0;79267.63890248896;;79267.63890248896;79267.63890248896;79267.63890248896;79267.63890248896;0.0;0.077798103319103;;0.077798103319103;0.077798103319103;0.077798103319103;0.077798103319103;0.0;-3.1539530027657747e-06;;-3.1539530027657747e-06;-3.1539530027657747e-06;-3.1539530027657747e-06;-3.1539530027657747e-06;0.0;2.689846992492676;;2.689846992492676;2.689846992492676;2.689846992492676;2.689846992492676;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.8042e-11;;2.8042e-11;2.8042e-11;2.8042e-11;2.8042e-11;0.0;55.934146881103516;;55.934146881103516;55.934146881103516;55.934146881103516;55.934146881103516;0.0;0.00295;ir;;
2;2;1;3;1;712.5;257.6425171951762;267;1158;267;1158;333.70786516853934;95545.15577544634;19038.53668333992;79267.6534123917;137798.46813015983;79267.6534123917;137798.46813015983;73.83946944065607;16277.517827459778;19038.536683331196;0.015464634442839;58530.830182048674;0.015464634442839;58530.830182048674;378481721.85225695;-5.2218919442195266e-05;2.3771735285758734e-07;-5.3099021897651255e-05;-5.1340393838472664e-05;-5.1340393838472664e-05;-5.204384433454834e-05;-1.370169652942035;0.7682319120775424;0.7825098562279708;0.049784105271101;2.6797001361846924;2.6797001361846924;0.049784105271101;-98.14217626073705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00023596057054405944;0.00027589221925508264;2.48586e-10;0.000847943290527;2.48586e-10;0.000847943290527;341106515.22652125;55.934146881103516;0.0;55.934146881103516;55.934146881103516;55.934146881103516;55.934146881103516;0.0;0.04879;discharge;;
3;3;1;4;1;1159.0;;1159;1159;1159;1159;0.0;137798.48101891778;;137798.48101891778;137798.48101891778;137798.48101891778;137798.48101891778;0.0;0.015626365825062;;0.015626365825062;0.015626365825062;0.015626365825062;0.015626365825062;0.0;-3.40145987820506e-07;;-3.40145987820506e-07;-3.40145987820506e-07;-3.40145987820506e-07;-3.40145987820506e-07;0.0;0.05501134693622589;;0.05501134693622589;0.05501134693622589;0.05501134693622589;0.05501134693622589;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.000847943292004;;0.000847943292004;0.000847943292004;0.000847943292004;0.000847943292004;0.0;53.250057220458984;;53.250057220458984;53.250057220458984;53.250057220458984;53.250057220458984;0.0;0.00032;ir;;
4;4;1;5;1;1175.5;9.38083151964686;1160;1191;1160;1191;2.6724137931034484;138690.890082033;558.9196223627216;137803.6418755106;139598.4802375575;137803.6418755106;139598.4802375575;1.3024607605569098;892.4116809738778;558.919622368771;5.163474329832221;1800.0018367305772;5.163474329832221;1800.0018367305772;34760.2844083291;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08457791269756854;0.007960999622434767;0.060238584876060486;0.0919094979763031;0.060238584876060486;0.0919094979763031;52.57579202002304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000847943292004;0.0;0.000847943292004;0.000847943292004;0.000847943292004;0.000847943292004;0.0;53.250057220458984;0.0;53.250057220458984;53.250057220458984;53.250057220458984;53.250057220458984;0.0;0.0;ocvrlx_up;;
5;5;1;6;1;1414.0;128.60469146445112;1192;1636;1192;1636;37.24832214765101;165588.72242801712;15217.265891169209;139598.5071990676;189393.04452451185;139598.5071990676;189393.04452451185;35.669820777121345;25990.24641137158;15217.265891161005;0.031182305949768;49794.56850775019;0.031182305949768;49794.56850775019;159688438.0701637;5.2206904283695946e-05;1.993287088998458e-07;5.171528027858585e-05;5.2418730774661526e-05;5.171528027858585e-05;5.2067003707634285e-05;0.6801150978080936;0.45096101382475223;0.2062389211047953;0.0971367359161377;1.0002191066741943;0.0971367359161377;1.0002191066741943;929.7021999356931;0.0003768337701458;0.00022054980997788108;4.47945e-10;0.000721801058533;4.47945e-10;0.000721801058533;161135990.0407416;0.000847943292004;0.0;0.000847943292004;0.000847943292004;0.000847943292004;0.000847943292004;0.0;53.250057220458984;0.0;53.250057220458984;53.250057220458984;53.250057220458984;53.250057220458984;0.0;0.04878;charge;;
6;6;1;7;1;1637.0;;1637;1637;1637;1637;0.0;189393.0502280598;;189393.0502280598;189393.0502280598;189393.0502280598;189393.0502280598;0.0;2.477285942e-06;;2.477285942e-06;2.477285942e-06;2.477285942e-06;2.477285942e-06;0.0;3.633059861840593e-07;;3.633059861840593e-07;3.633059861840593e-07;3.633059861840593e-07;3.633059861840593e-07;0.0;0.9974517226219177;;0.9974517226219177;0.9974517226219177;0.9974517226219177;0.9974517226219177;0.0;0.000721801058533;;0.000721801058533;0.000721801058533;0.000721801058533;0.000721801058533;0.0;0.000847943292004;;0.000847943292004;0.000847943292004;0.000847943292004;0.000847943292004;0.0;53.250057220458984;;53.250057220458984;53.250057220458984;53.250057220458984;53.250057220458984;0.0;0.00034;ir;;
7;7;1;8;1;1650.0;7.359800721939872;1638;1662;1638;1662;1.465201465201465;189724.38261682022;307.96143162100117;189394.3348485045;190293.0799145472;189394.3348485045;190293.0799145472;0.4745364040384839;331.3267851304804;307.96143160656806;1.279016715663844;900.0240831122356;1.279016715663844;900.0240831122356;70268.43788590355;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9337777805328369;0.03265301833144721;0.8913695216178894;0.9922244548797607;0.9922244548797607;0.8913695216178894;-10.164528072843467;0.000721801058533;0.0;0.000721801058533;0.000721801058533;0.000721801058533;0.000721801058533;0.0;0.0008479432920039998;0.0;0.000847943292004;0.000847943292004;0.000847943292004;0.000847943292004;0.0;27.498090744018555;0.0;27.498090744018555;27.498090744018555;27.498090744018555;27.498090744018555;0.0;0.0;ocvrlx_down;;
8;8;2;3;1;1909.5;142.7497810856465;1663;2156;1663;2156;29.6452194828623;211638.2199531906;16023.938489535782;190293.7015285605;240408.6205252031;190293.7015285605;240408.6205252031;26.335563707094657;21345.111312536857;16023.938489537206;0.592887782839699;50115.51188477931;0.592887782839699;50115.51188477931;8452682.016311036;-5.212928444667444e-05;2.1884029810889322e-07;-5.274729846860282e-05;-5.1692120905499905e-05;-5.204384433454834e-05;-5.239557140157558e-05;-0.6758283741805629;0.2727453100008641;0.20562557680354032;0.049784105271101;0.8861422538757324;0.8861422538757324;0.049784105271101;-94.38192851617677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003089751334271822;0.00023191106408557095;8.610777e-09;0.000725284011887;8.610777e-09;0.000725284011887;8422879.852886679;27.498090744018555;0.0;27.498090744018555;27.498090744018555;27.498090744018555;27.498090744018555;0.0;0.04871;discharge;;
9;9;2;4;1;2157.0;;2157;2157;2157;2157;0.0;240408.6221837745;;240408.6221837745;240408.6221837745;240408.6221837745;240408.6221837745;0.0;2.477285942e-06;;2.477285942e-06;2.477285942e-06;2.477285942e-06;2.477285942e-06;0.0;-7.374662800430087e-06;;-7.374662800430087e-06;-7.374662800430087e-06;-7.374662800430087e-06;-7.374662800430087e-06;0.0;0.051936499774456024;;0.051936499774456024;0.051936499774456024;0.051936499774456024;0.051936499774456024;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.000725284011892;;0.000725284011892;0.000725284011892;0.000725284011892;0.000725284011892;0.0;27.498090744018555;;27.498090744018555;27.498090744018555;27.498090744018555;27.498090744018555;0.0;0.00689;ir;;
10;10;2;5;1;2174.0;9.669539802906858;2158;2190;2158;2190;1.4828544949026876;241298.62435513127;573.0471823186186;240408.7488008077;242208.6413708255;240408.7488008077;242208.6413708255;0.748680145375708;890.0003611368143;573.0471823496889;0.124806727459264;1800.0173767452925;0.124806727459264;1800.0173767452925;1442143.8704939242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08385899324308742;0.008470648322181489;0.05716373771429062;0.09129452705383301;0.05716373771429062;0.09037207812070847;58.09336781369344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000725284011892;0.0;0.000725284011892;0.000725284011892;0.000725284011892;0.000725284011892;0.0;49.94566345214844;0.0;49.94566345214844;49.94566345214844;49.94566345214844;49.94566345214844;0.0;0.0;ocvrlx_up;;
