;index;cycle;step;sub_step;point_avr;point_std;point_min;point_max;point_first;point_last;point_delta;test_time_avr;test_time_std;test_time_min;test_time_max;test_time_first;test_time_last;test_time_delta;step_time_avr;step_time_std;step_time_min;step_time_max;step_time_first;step_time_last;step_time_delta;current_avr;current_std;current_min;current_max;current_first;current_last;current_delta;voltage_avr;voltage_std;voltage_min;voltage_max;voltage_first;voltage_last;voltage_delta;charge_avr;charge_std;charge_min;charge_max;charge_first;charge_last;charge_delta;discharge_avr;discharge_std;discharge_min;discharge_max;discharge_first;discharge_last;discharge_delta;ir_avr;ir_std;ir_min;ir_max;ir_first;ir_last;ir_delta;rate_avr;type;sub_type;info
0;0;1;1;1;72.5;41.71330722922842;1;144;1;144;14300.0;21750.945996045342;12514.524869911325;300.0071812970985;43200.06881652524;300.0071812970985;43200.06881652524;14299.678244283097;21750.887429219423;12514.524869924597;299.9486143654981;43200.01024959364;299.9486143654981;43200.01024959364;14302.47035012233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.174174068702592;0.014773130471679781;3.153886318206787;3.2095415592193604;3.2095415592193604;3.153886318206787;-1.734055782910939;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rest;;
1;1;1;2;1;145.0;;145;145;145;145;0.0;43200.085488799006;;43200.085488799006;43200.085488799006;43200.085488799006;43200.085488799006;0.0;0.015618226171252;;0.015618226171252;0.015618226171252;0.015618226171252;0.015618226171252;0.0;1.2240000124563721e-09;;1.2240000124563721e-09;1.2240000124563721e-09;1.2240000124563721e-09;1.2240000124563721e-09;0.0;3.153578758239746;;3.153578758239746;3.153578758239746;3.153578758239746;3.153578758239746;0.0;5e-15;;5e-15;5e-15;5e-15;5e-15;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;53.490604400634766;;53.490604400634766;53.490604400634766;53.490604400634766;53.490604400634766;0.0;0.0;ir;;
2;2;1;3;1;653.5;293.4382388169613;146;1161;146;1161;695.2054794520548;60500.93482371436;20787.325852466278;43200.10242610125;107516.32838041372;43200.10242610125;107516.32838041372;148.87979968180116;17300.84796923656;20787.325852472877;0.015571511636343;64316.24152582413;0.015571511636343;64316.24152582413;413037779.865907;-4.522028971259142e-05;5.4202254498957775e-09;-4.52341373602394e-05;-4.5207627408672124e-05;-4.5207627408672124e-05;-4.521898881648667e-05;-0.025131617087182007;0.9051609237377686;0.9207800938648447;0.04980000853538513;3.134514570236206;3.134514570236206;0.04980000853538513;-98.41123697403543;5e-15;0.0;5e-15;5e-15;5e-15;5e-15;0.0;0.0002173158401821378;0.0002611104019939166;9.7424e-11;0.000807879435848;9.7424e-11;0.000807879435848;829240575.6528167;53.490604400634766;0.0;53.490604400634766;53.490604400634766;53.490604400634766;53.490604400634766;0.0;0.04915;discharge;;
3;3;1;4;1;1162.0;;1162;1162;1162;1162;0.0;107516.34599201631;;107516.34599201631;107516.34599201631;107516.34599201631;107516.34599201631;0.0;0.015463218850872;;0.015463218850872;0.015463218850872;0.015463218850872;0.015463218850872;0.0;-4.5222775952424854e-05;;-4.5222775952424854e-05;-4.5222775952424854e-05;-4.5222775952424854e-05;-4.5222775952424854e-05;0.0;0.05010749772191048;;0.05010749772191048;0.05010749772191048;0.05010749772191048;0.05010749772191048;0.0;5e-15;;5e-15;5e-15;5e-15;5e-15;0.0;0.000807879630095;;0.000807879630095;0.000807879630095;0.000807879630095;0.000807879630095;0.0;56.118919372558594;;56.118919372558594;56.118919372558594;56.118919372558594;56.118919372558594;0.0;0.04915;ir;;
4;4;1;5;1;1179.0;9.669539802906858;1163;1195;1163;1195;2.751504729148753;108409.1300663786;573.225052408043;107516.34824858714;109316.35006266824;107516.34824858714;109316.35006266824;1.6741656905230264;892.7818193142919;573.2250524313899;1.415591967e-06;1800.001815496698;1.415591967e-06;1800.001815496698;127155413144.63437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08270117064768617;0.008561470413699866;0.05594975873827934;0.0900808721780777;0.05594975873827934;0.08946589380502701;59.90398497253361;5e-15;0.0;5e-15;5e-15;5e-15;5e-15;0.0;0.000807879630095;0.0;0.000807879630095;0.000807879630095;0.000807879630095;0.000807879630095;0.0;56.118919372558594;0.0;56.118919372558594;56.118919372558594;56.118919372558594;56.118919372558594;0.0;0.0;ocvrlx_up;;
5;5;1;6;1;1434.5;138.13097649212023;1196;1673;1196;1673;39.88294314381271;137406.64724615868;16398.620951561068;109316.36566979135;163380.9494185125;109316.36566979135;163380.9494185125;49.45698973567452;28090.296498953656;16398.620951562498;0.014922462719501;54064.59867118383;0.014922462719501;54064.59867118383;362303359.47208184;4.5228199684121995e-05;2.235720931203933e-09;4.5217646402306855e-05;4.5236585719976574e-05;4.522143353824504e-05;4.52290078101214e-05;0.016749296260055915;0.4456136132820381;0.20322920388968463;0.09561564773321152;1.000243902206421;0.09561564773321152;1.000243902206421;946.109006129749;0.00035290936881898744;0.0002060219434256557;9.3968e-11;0.000679231911596;9.3968e-11;0.000679231911596;722833110.876043;0.000807879630095;0.0;0.000807879630095;0.000807879630095;0.000807879630095;0.000807879630095;0.0;56.118919372558594;0.0;56.118919372558594;56.118919372558594;56.118919372558594;56.118919372558594;0.0;0.04916;charge;;
6;6;1;7;1;1674.0;;1674;1674;1674;1674;0.0;163380.96043386313;;163380.96043386313;163380.96043386313;163380.96043386313;163380.96043386313;0.0;0.015595930597773;;0.015595930597773;0.015595930597773;0.015595930597773;0.015595930597773;0.0;4.52290078101214e-05;;4.52290078101214e-05;4.52290078101214e-05;4.52290078101214e-05;4.52290078101214e-05;0.0;0.9996289014816284;;0.9996289014816284;0.9996289014816284;0.9996289014816284;0.9996289014816284;0.0;0.000679232107537;;0.000679232107537;0.000679232107537;0.000679232107537;0.000679232107537;0.0;0.000807879630095;;0.000807879630095;0.000807879630095;0.000807879630095;0.000807879630095;0.0;29.374835968017578;;29.374835968017578;29.374835968017578;29.374835968017578;29.374835968017578;0.0;0.04916;ir;;
7;7;1;8;1;1687.0;7.359800721939872;1675;1699;1675;1699;1.4328358208955223;163710.79406247713;308.56256587625006;163381.4707676868;164280.96470240608;163381.4707676868;164280.96470240608;0.5505483152359834;329.83807281309623;308.562565873503;0.514778249287869;900.0087126146585;0.514778249287869;900.0087126146585;174734.2541394683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.936335666179657;0.032607413850498965;0.8941606879234314;0.9944015741348267;0.9944015741348267;0.8941606879234314;-10.080523685675907;0.000679232107537;0.0;0.000679232107537;0.000679232107537;0.000679232107537;0.000679232107537;0.0;0.000807879630095;0.0;0.000807879630095;0.000807879630095;0.000807879630095;0.000807879630095;0.0;29.374835968017578;0.0;29.374835968017578;29.374835968017578;29.374835968017578;29.374835968017578;0.0;0.0;ocvrlx_down;;
8;8;2;3;1;1967.0;154.58546719102242;1700;2234;1700;2234;31.41176470588235;188182.76582774956;17548.385739774538;164281.6382255316;219502.13877531217;164281.6382255316;219502.13877531217;33.61331256873146;23901.782797746924;17548.385739779937;0.655195417162566;55221.1557451977;0.655195417162566;55221.1557451977;8428096.275294812;-4.522047535582689e-05;2.74022119756942e-09;-4.523035022430122e-05;-4.521141454461031e-05;-4.5222775952424854e-05;-4.5222775952424854e-05;0.0;0.2664367330547805;0.20160950342691344;0.04980000853538513;0.8886259198188782;0.8886259198188782;0.04980000853538513;-94.39584110425955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00030023501931559815;0.00022042793384330461;8.132085e-09;0.00069364072523;8.132085e-09;0.00069364072523;8529578.73835554;29.374835968017578;0.0;29.374835968017578;29.374835968017578;29.374835968017578;29.374835968017578;0.0;0.04915;discharge;;
9;9;2;4;1;2235.0;;2235;2235;2235;2235;0.0;219502.1687748279;;219502.1687748279;219502.1687748279;219502.1687748279;219502.1687748279;0.0;0.026486787395428;;0.026486787395428;0.026486787395428;0.026486787395428;0.026486787395428;0.0;1.6786400180990313e-07;;1.6786400180990313e-07;1.6786400180990313e-07;1.6786400180990313e-07;1.6786400180990313e-07;0.0;0.05502729490399361;;0.05502729490399361;0.05502729490399361;0.05502729490399361;0.05502729490399361;0.0;6.64e-13;;6.64e-13;6.64e-13;6.64e-13;6.64e-13;0.0;0.00069364072523;;0.00069364072523;0.00069364072523;0.00069364072523;0.00069364072523;0.0;52.098419189453125;;52.098419189453125;52.098419189453125;52.098419189453125;52.098419189453125;0.0;0.00018;ir;;
