;index;cycle;step;sub_step;point_avr;point_std;point_min;point_max;point_first;point_last;point_delta;test_time_avr;test_time_std;test_time_min;test_time_max;test_time_first;test_time_last;test_time_delta;step_time_avr;step_time_std;step_time_min;step_time_max;step_time_first;step_time_last;step_time_delta;current_avr;current_std;current_min;current_max;current_first;current_last;current_delta;voltage_avr;voltage_std;voltage_min;voltage_max;voltage_first;voltage_last;voltage_delta;charge_avr;charge_std;charge_min;charge_max;charge_first;charge_last;charge_delta;discharge_avr;discharge_std;discharge_min;discharge_max;discharge_first;discharge_last;discharge_delta;ir_avr;ir_std;ir_min;ir_max;ir_first;ir_last;ir_delta;rate_avr;type;sub_type;info
0;0;1;1;1;72.5;41.71330722922842;1;144;1;144;14300.0;21751.505085474804;12514.859750912987;300.0142128972294;43200.07040871324;300.0142128972294;43200.07040871324;14299.341281711719;21751.445807718494;12514.85975092924;299.95493533752847;43200.011130799634;299.95493533752847;43200.011130799634;14302.167139603227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.045225156678094;0.01068477417543549;3.034839153289795;3.068047285079956;3.066817283630371;3.036068916320801;-1.0026149087425147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rest;;
1;1;1;2;1;145.0;;145;145;145;145;0.0;43200.10214709331;;43200.10214709331;43200.10214709331;43200.10214709331;43200.10214709331;0.0;0.031876653809553;;0.031876653809553;0.031876653809553;0.031876653809553;0.031876653809553;0.0;-1.2531529591797153e-06;;-1.2531529591797153e-06;-1.2531529591797153e-06;-1.2531529591797153e-06;-1.2531529591797153e-06;0.0;3.036068916320801;;3.036068916320801;3.036068916320801;3.036068916320801;3.036068916320801;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.1096e-11;;1.1096e-11;1.1096e-11;1.1096e-11;1.1096e-11;0.0;58.46879577636719;;58.46879577636719;58.46879577636719;58.46879577636719;58.46879577636719;0.0;0.00056;ir;;
2;2;1;3;1;634.0;282.17990715144833;146;1122;146;1122;668.4931506849315;60737.72905645757;20721.49727150785;43200.13311643676;106799.64503872926;43200.13311643676;106799.64503872926;147.22063876718516;17537.62731784073;20721.497271501208;0.031377657641206;63599.54330030404;0.031377657641206;63599.54330030404;202690438.6869394;-0.00011025342772060151;2.3547541018398637e-07;-0.00011098056711489335;-0.0001092221136786975;-0.00010957380436593667;-0.00011062887642765418;-0.9628871314844132;0.8342334670162432;0.8653653942550305;0.049795642495155334;3.0096254348754883;3.0096254348754883;0.049795642495155334;-98.34545382564474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005370659548982253;0.0006345602321137045;9.66143e-10;0.001947579023783;9.66143e-10;0.001947579023783;201582794.4351923;58.46879577636719;0.0;58.46879577636719;58.46879577636719;58.46879577636719;58.46879577636719;0.0;0.04925;discharge;;
3;3;1;4;1;1123.0;;1123;1123;1123;1123;0.0;106799.68010991332;;106799.68010991332;106799.68010991332;106799.68010991332;106799.68010991332;0.0;0.031206371013206;;0.031206371013206;0.031206371013206;0.031206371013206;0.031206371013206;0.0;-9.014619877234509e-07;;-9.014619877234509e-07;-9.014619877234509e-07;-9.014619877234509e-07;-9.014619877234509e-07;0.0;0.055945299565792084;;0.055945299565792084;0.055945299565792084;0.055945299565792084;0.055945299565792084;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.001947579031597;;0.001947579031597;0.001947579031597;0.001947579031597;0.001947579031597;0.0;38.23750305175781;;38.23750305175781;38.23750305175781;38.23750305175781;38.23750305175781;0.0;0.0004;ir;;
4;4;1;5;1;1139.5;9.38083151964686;1124;1155;1124;1155;2.7580071174377223;107713.51314015941;559.4178126362973;106807.983121459;108599.70171593188;106807.983121459;108599.70171593188;1.6775137420537125;913.8290385931954;559.4178125988157;8.299019737952694;1800.0176145647426;8.299019737952694;1800.0176145647426;21589.520827779033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0840895886067301;0.0072772037645871005;0.06117250770330429;0.090383380651474;0.06117250770330429;0.09007589519023895;47.24898254477382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001947579031597;0.0;0.001947579031597;0.001947579031597;0.001947579031597;0.001947579031597;0.0;38.23750305175781;0.0;38.23750305175781;38.23750305175781;38.23750305175781;38.23750305175781;0.0;0.0;ocvrlx_up;;
5;5;1;6;1;1394.5;138.13097649212023;1156;1633;1156;1633;41.26297577854671;136699.89351282088;16395.72413855507;108599.70389445238;162642.376244013;108599.70389445238;162642.376244013;49.76318572846614;28100.18962099757;16395.72413854421;2.831183934e-06;54042.672352391804;2.831183934e-06;54042.672352391804;1908836501244.4517;0.00011041076769482414;2.6726841582050817e-07;0.00010952933371299878;0.00011199116852367297;0.00010988102440023795;0.00011093609646195546;0.9601949631216083;0.445834830372154;0.2035340945988745;0.09653303772211075;1.0002250671386719;0.09653303772211075;1.0002250671386719;936.1479248358636;0.000861544065975385;0.0005026669096016513;8.6e-14;0.001656890868692;8.6e-14;0.001656890868692;1926617289076.7441;0.001947579031597;0.0;0.001947579031597;0.001947579031597;0.001947579031597;0.001947579031597;0.0;38.23750305175781;0.0;38.23750305175781;38.23750305175781;38.23750305175781;38.23750305175781;0.0;0.04932;charge;;
6;6;1;8;1;1645.5;7.0710678118654755;1634;1657;1634;1657;1.4075887392900857;162971.90077333766;305.02871251032894;162642.7400774757;163542.3743808788;162642.7400774757;163542.3743808788;0.5531352355319215;329.53510141654755;305.028712476825;0.37440567256013;900.0087087217806;0.37440567256013;900.0087087217806;240283.29936821084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9392410193880399;0.031336069280316604;0.8987557888031006;0.9949979186058044;0.9949979186058044;0.8987557888031006;-9.672596093221859;0.001656890868692;0.0;0.001656890868692;0.001656890868692;0.001656890868692;0.001656890868692;0.0;0.001947579031597;0.0;0.001947579031597;0.001947579031597;0.001947579031597;0.001947579031597;0.0;12.740817070007324;0.0;12.740817070007324;12.740817070007324;12.740817070007324;12.740817070007324;0.0;0.0;ocvrlx_down;;
7;7;2;3;1;1926.0;155.16281771094518;1658;2194;1658;2194;32.32810615199035;187469.46637798942;17599.322374360625;163542.81335404617;218915.71218168832;163542.81335404617;218915.71218168832;33.85835041725004;23927.05872709413;17599.32237435144;0.405703349255204;55373.30453063749;0.405703349255204;55373.30453063749;13648617.623922156;-0.00011027915049285768;2.2064924839110148e-07;-0.00011098056711489335;-0.00010957380436593667;-0.00011027718574041501;-0.00011062887642765418;-0.318915181665069;0.26741161366692245;0.2027562683493458;0.049795642495155334;0.8935285806655884;0.8935285806655884;0.049795642495155334;-94.42707893483804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007327228921986759;0.0005389551685297178;1.244145e-08;0.001695758333559;1.244145e-08;0.001695758333559;13629809.162991451;12.740817070007324;0.0;12.740817070007324;12.740817070007324;12.740817070007324;12.740817070007324;0.0;0.04926;discharge;;
8;8;2;4;1;2195.0;;2195;2195;2195;2195;0.0;218915.73820739868;;218915.73820739868;218915.73820739868;218915.73820739868;218915.73820739868;0.0;0.031218403544925;;0.031218403544925;0.031218403544925;0.031218403544925;0.031218403544925;0.0;-1.9808099693818804e-07;;-1.9808099693818804e-07;-1.9808099693818804e-07;-1.9808099693818804e-07;-1.9808099693818804e-07;0.0;0.054407887160778046;;0.054407887160778046;0.054407887160778046;0.054407887160778046;0.054407887160778046;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.001695758335277;;0.001695758335277;0.001695758335277;0.001695758335277;0.001695758335277;0.0;27.187715530395508;;27.187715530395508;27.187715530395508;27.187715530395508;27.187715530395508;0.0;9e-05;ir;;
9;9;2;5;1;2211.5;9.38083151964686;2196;2227;2196;2227;1.4116575591985427;219831.74527357137;559.4762478026202;218924.28183190856;220715.7506016494;218924.28183190856;220715.7506016494;0.818305194266362;916.012088845737;559.4762478071581;8.548646994892898;1800.0174167357652;8.548646994892898;1800.0174167357652;20956.16734216684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08235038863494992;0.007365833156345528;0.05963509529829025;0.08884596079587936;0.05963509529829025;0.08884596079587936;48.98267597541106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001695758335277;0.0;0.001695758335277;0.001695758335277;0.001695758335277;0.001695758335277;0.0;27.187715530395508;0.0;27.187715530395508;27.187715530395508;27.187715530395508;27.187715530395508;0.0;0.0;ocvrlx_up;;
