Name:	KIT-SIMBA-013-2.081
Channel:	81
Tester	Maccor #4
Procedure	SIMBA.000
Description	SIMBA-Capacity_test
Started	06/05/2021 11:23:46
SCap	0,017
C Rate	0,003
Ch. max. V	6,00 V
DisCh. min. V	0,00 V
Ch. max. I	5,000 A
DisCh. max. I	5,000 A

Rec	Cycle P	Cycle C	Step	TestTime	StepTime	Cap. [Ah]	Ener. [Wh]	Current [A]	Voltage [V]	Md	ES	DPT Time	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15
22	0	1	1	21,000000	21,000000	0,00000000	0,00000000	0,00000000	0,1466	R	1	06/05/2021 11:44:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
23	0	1	1	22,000000	22,000000	0,00000000	0,00000000	0,00000000	0,1469	R	1	06/05/2021 11:45:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
24	0	1	1	23,000000	23,000000	0,00000000	0,00000000	0,00000000	0,1469	R	1	06/05/2021 11:46:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
25	0	1	1	24,000000	24,000000	0,00000000	0,00000000	0,00000000	0,1471	R	1	06/05/2021 11:47:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
26	0	1	1	25,000000	25,000000	0,00000000	0,00000000	0,00000000	0,1472	R	1	06/05/2021 11:48:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
27	0	1	1	26,000000	26,000000	0,00000000	0,00000000	0,00000000	0,1474	R	1	06/05/2021 11:49:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
28	0	1	1	27,000000	27,000000	0,00000000	0,00000000	0,00000000	0,1476	R	1	06/05/2021 11:50:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
29	0	1	1	28,000000	28,000000	0,00000000	0,00000000	0,00000000	0,1478	R	1	06/05/2021 11:51:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
30	0	1	1	29,000000	29,000000	0,00000000	0,00000000	0,00000000	0,1480	R	1	06/05/2021 11:52:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
31	0	1	1	30,000000	30,000000	0,00000000	0,00000000	0,00000000	0,1480	R	1	06/05/2021 11:53:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
32	0	1	1	31,000000	31,000000	0,00000000	0,00000000	0,00000000	0,1482	R	1	06/05/2021 11:54:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
33	0	1	1	32,000000	32,000000	0,00000000	0,00000000	0,00000000	0,1484	R	1	06/05/2021 11:55:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
34	0	1	1	33,000000	33,000000	0,00000000	0,00000000	0,00000000	0,1484	R	1	06/05/2021 11:56:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
35	0	1	1	34,000000	34,000000	0,00000000	0,00000000	0,00000000	0,1486	R	1	06/05/2021 11:57:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
36	0	1	1	35,000000	35,000000	0,00000000	0,00000000	0,00000000	0,1486	R	1	06/05/2021 11:58:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
37	0	1	1	36,000000	36,000000	0,00000000	0,00000000	0,00000000	0,1487	R	1	06/05/2021 11:59:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
38	0	1	1	37,000000	37,000000	0,00000000	0,00000000	0,00000000	0,1488	R	1	06/05/2021 12:00:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
39	0	1	1	38,000000	38,000000	0,00000000	0,00000000	0,00000000	0,1491	R	1	06/05/2021 12:01:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
40	0	1	1	39,000000	39,000000	0,00000000	0,00000000	0,00000000	0,1490	R	1	06/05/2021 12:02:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
41	0	1	1	40,000000	40,000000	0,00000000	0,00000000	0,00000000	0,1491	R	1	06/05/2021 12:03:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
42	0	1	1	41,000000	41,000000	0,00000000	0,00000000	0,00000000	0,1491	R	1	06/05/2021 12:04:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
43	0	1	1	42,000000	42,000000	0,00000000	0,00000000	0,00000000	0,1493	R	1	06/05/2021 12:05:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
44	0	1	1	43,000000	43,000000	0,00000000	0,00000000	0,00000000	0,1493	R	1	06/05/2021 12:06:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
45	0	1	1	44,000000	44,000000	0,00000000	0,00000000	0,00000000	0,1496	R	1	06/05/2021 12:07:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
46	0	1	1	45,000000	45,000000	0,00000000	0,00000000	0,00000000	0,1495	R	1	06/05/2021 12:08:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
47	0	1	1	46,000000	46,000000	0,00000000	0,00000000	0,00000000	0,1496	R	1	06/05/2021 12:09:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
