# PRIME INSTRUMENT FILE --- M12X---!! HEAD !!---M13B---;;;;;;;;;
number of headers ;19;;;;;;;;
operator;Jan Petter Maehlen;;;;;;;;
date;01.01.2016;;;;;;;;
instrument;bobby;;;;;;;;
schedule;galvanic;;;;;;;;
cell;ee002;;;;;;;;
geometry;half-cell;;;;;;;;
counter;Li-metal;;;;;;;;
material;si-based;;;;;;;;
mass;0.0012;;;;;;;;
# PRIME INSTRUMENT FILE ---L01---''LOG'' ---0000000-;;;;;;;;;
15;Started collecting auxilary data (saved to output.log);;;;;;;;
773;Problem encountered - reloading config;;;;;;;;
1111;R12;;;;;;;;
6588;R12;;;;;;;;
7712;Problem encountered - reloading config;;;;;;;;
78999;R0;;;;;;;;
# PRIME INSTRUMENT FILE ---268876-;;;;;;;;;
index;test_time;step_time;date_stamp;step;cycle;current;voltage;charge_capacity;discharge_Capacity
0;120.00;120.00;43374.42;1;1;0.00;1.14;0.00;0.00
1;240.00;240.00;43374.42;1;1;0.00;1.14;0.00;0.00
2;360.00;360.00;43374.42;1;1;0.00;1.14;0.00;0.00
3;480.00;480.00;43374.42;1;1;0.00;1.14;0.00;0.00
4;600.01;600.01;43374.42;1;1;0.00;1.14;0.00;0.00
5;720.01;720.01;43374.42;1;1;0.00;1.14;0.00;0.00
6;840.01;840.01;43374.42;1;1;0.00;1.14;0.00;0.00
7;960.01;960.01;43374.43;1;1;0.00;1.14;0.00;0.00
8;1080.01;1080.01;43374.43;1;1;0.00;1.14;0.00;0.00
9;1200.01;1200.01;43374.43;1;1;0.00;1.14;0.00;0.00
10;1320.01;1320.01;43374.43;1;1;0.00;1.14;0.00;0.00
11;1440.02;1440.02;43374.43;1;1;0.00;1.14;0.00;0.00
12;1560.02;1560.02;43374.43;1;1;0.00;1.14;0.00;0.00
13;1680.02;1680.02;43374.43;1;1;0.00;1.14;0.00;0.00
14;1800.02;1800.02;43374.43;1;1;0.00;1.14;0.00;0.00
15;1920.02;1920.02;43374.44;1;1;0.00;1.14;0.00;0.00
16;2040.03;2040.03;43374.44;1;1;0.00;1.14;0.00;0.00
17;2160.03;2160.03;43374.44;1;1;0.00;1.14;0.00;0.00
18;2280.03;2280.03;43374.44;1;1;0.00;1.14;0.00;0.00
19;2400.03;2400.03;43374.44;1;1;0.00;1.14;0.00;0.00
20;2520.03;2520.03;43374.44;1;1;0.00;1.14;0.00;0.00
