time (s) cycle_no 1;voltage (V) cycle_no 1;time (s) cycle_no 2;voltage (V) cycle_no 2;time (s) cycle_no 3;voltage (V) cycle_no 3;time (s) cycle_no 4;voltage (V) cycle_no 4;time (s) cycle_no 5;voltage (V) cycle_no 5;time (s) cycle_no 6;voltage (V) cycle_no 6;time (s) cycle_no 7;voltage (V) cycle_no 7;time (s) cycle_no 8;voltage (V) cycle_no 8;time (s) cycle_no 9;voltage (V) cycle_no 9;time (s) cycle_no 10;voltage (V) cycle_no 10;time (s) cycle_no 11;voltage (V) cycle_no 11;time (s) cycle_no 12;voltage (V) cycle_no 12;time (s) cycle_no 13;voltage (V) cycle_no 13;time (s) cycle_no 14;voltage (V) cycle_no 14;time (s) cycle_no 15;voltage (V) cycle_no 15;time (s) cycle_no 16;voltage (V) cycle_no 16;time (s) cycle_no 17;voltage (V) cycle_no 17
0.289978173458672;0.99056822061538696;0.21307123372932599;0.99056822061538696;0.26600338853205602;0.98964452743530273;1.207387157e-06;0.98564165830612183;0.015980070867589;0.98471790552139282;0.013048233003988;0.98502582311630249;0.028973971449519999;0.98348623514175415;0.013018350171856;0.98533374071121216;1.509233946e-06;0.98440998792648315;0.026990838044406999;0.98471790552139282;9.0554036799999995e-07;0.98872077465057373;1.207387157e-06;0.98779702186584473;0.014117676178161001;0.98502582311630249;0.039030299078853997;0.98410207033157349;0.028056357210320002;0.98471790552139282;0.014983674616406;0.98348623514175415;0.013011407695705;0.98379415273666382
1.8129881051235781;0.98533374071121216;1.3831250741411181;0.98533374071121216;1.6230386372945591;0.98440998792648315;0.40486075958537099;0.98009920120239258;0.36797478009706802;0.97886753082275391;0.40499296847904498;0.97948336601257324;0.39503202443510099;0.9779437780380249;0.377013884046763;0.98009920120239258;0.35701743980194001;0.97917544841766357;0.39299214383361702;0.97917544841766357;0.103972333930688;0.98317831754684448;0.104017007255491;0.98256248235702515;0.37199779410366501;0.97979128360748291;0.35105506017466698;0.97886753082275391;0.39200721776042402;0.97917544841766357;0.33294606390277598;0.97825169563293457;0.34399576931540199;0.97855961322784424
4.9710275377844262;0.98009920120239258;3.820087239759018;0.98009920120239258;3.9043815778074999;0.97917544841766357;1.2018739252367761;0.974864661693573;1.0888655058242851;0.9736330509185791;1.128195538764825;0.97424882650375366;1.1580506009920499;0.9727092981338501;1.1330021470362119;0.974864661693573;1.079918766992088;0.97394090890884399;1.0719961943156819;0.97394090890884399;0.54596115412930901;0.97732800245285034;0.58603312647772898;0.97702008485794067;0.97498716396528895;0.97455674409866333;0.99007135356250198;0.9736330509185791;1.1059832372404079;0.97394090890884399;0.92999327787200403;0.97301721572875977;0.93607518882780505;0.97301721572875977
9.2110862892434806;0.974864661693573;7.0181666490086299;0.974864661693573;7.2271388033404786;0.97394090890884399;2.4079030733738231;0.96963018178939819;2.2518528110538711;0.96839851140975952;2.2470694449852542;0.96901434659957886;2.2720176858070742;0.96716684103012085;2.2620021074942822;0.96963018178939819;2.1669245947480471;0.96870642900466919;2.1940017609741691;0.96839851140975952;1.3819602473815551;0.97209346294403076;1.34007809983824;0.97178554534912109;2.0870151850064249;0.96932226419448853;1.9170712168259061;0.96839851140975952;2.181089660872114;0.96870642900466919;1.896969729898438;0.96778267621994019;1.9850142124560699;0.96778267621994019
14.648130557188043;0.96963018178939819;11.73535582755976;0.96963018178939819;11.625108702574966;0.96870642900466919;4.1228818278875652;0.96439564228057861;3.806895629530155;0.96316397190093994;3.9720465725448011;0.96377980709075928;4.0001593751047038;0.96193230152130127;3.7852393297914628;0.96439564228057861;3.7589484744512349;0.96347188949584961;3.905963254982963;0.96316397190093994;2.5820049810757149;0.96655100584030151;2.508382436259768;0.96655100584030151;3.5751252890560319;0.96408772468566895;3.394073660879358;0.96316397190093994;3.7801006900519449;0.96316397190093994;3.2550140524772719;0.96254813671112061;3.300144071472491;0.96254813671112061
21.618249837983736;0.96439564228057861;17.089440825804523;0.96439564228057861;17.19520914813101;0.96347188949584961;6.4099369170395226;0.95916110277175903;6.0439464777347247;0.95792943239212036;6.1231236071657218;0.9585452675819397;6.0310364905601954;0.95669782161712646;5.9382128677889954;0.95916110277175903;5.798982715951003;0.95823734998703003;5.8731703179563528;0.95792943239212036;4.3054257865900949;0.96131652593612671;4.2171645780378082;0.96131652593612671;5.6452400723345644;0.95885318517684937;5.2322043961570079;0.95792943239212036;5.7511004579317637;0.95792943239212036;4.8470331026318334;0.9573136568069458;5.0560604949261068;0.9573136568069458
29.819321756301584;0.95916110277175903;24.059335834435831;0.95916110277175903;23.547399152233108;0.95823734998703003;9.0821554517001353;0.95392656326293945;8.5699778957596262;0.95269495248794556;8.6481402162852987;0.95331078767776489;8.6300731767171097;0.95146328210830688;8.4221134165162717;0.95392656326293945;8.2859470095887691;0.95300287008285522;8.3880626839190224;0.95238703489303589;6.3070750774463402;0.95608198642730713;6.2941216243341636;0.95608198642730713;7.9780180075757503;0.95361864566802979;7.5503119737489888;0.95269495248794556;8.0701178017464255;0.95269495248794556;7.1760771930904861;0.95207911729812622;7.2971361682180094;0.95207911729812622
40.287443264122885;0.95392656326293945;32.047395379148249;0.95392656326293945;31.076493107781346;0.95300287008285522;12.361984630565187;0.94869208335876465;11.773975916852075;0.94746041297912598;11.571159022245809;0.94807624816894531;11.636101660791221;0.9462287425994873;11.575139777701914;0.94869208335876465;11.206053899573762;0.94776833057403564;11.509122262740124;0.94715249538421631;9.1451155605340162;0.95084744691848755;8.8210942006478241;0.95084744691848755;10.848139974807868;0.94838416576385498;10.271222621364291;0.94746041297912598;10.902128291526044;0.94746041297912598;9.6851143350360527;0.94684457778930664;9.6631287204503327;0.94684457778930664
51.691586835737091;0.94869208335876465;41.534511199874188;0.94869208335876465;39.624429245452454;0.94776833057403564;16.051074891508719;0.94345754384994507;15.2130440675183;0.9422258734703064;15.602189174023428;0.94253379106521606;15.281272912057844;0.9409942626953125;14.932299689188362;0.94345754384994507;14.722057061720728;0.94253379106521606;15.071304361474812;0.94191795587539673;12.269164026261878;0.94561290740966797;11.860255501233196;0.94561290740966797;14.174282713928632;0.9431496262550354;13.512327271947958;0.94191795587539673;14.105190587571942;0.9422258734703064;12.802025935279824;0.94161003828048706;12.693135611612528;0.94161003828048706
65.813722196514931;0.94345754384994507;52.166611579627634;0.94345754384994507;49.751567414914675;0.94253379106521606;20.494252686210039;0.93822300434112549;19.568131800796813;0.93699139356613159;19.895393787811972;0.93729925155639648;19.471240792541003;0.93575972318649292;19.095208212405964;0.93822300434112549;18.878101588951687;0.93729925155639648;19.235179699958255;0.93668347597122192;15.715298712110306;0.94037842750549316;15.583232290120646;0.94037842750549316;18.084209820947503;0.93791508674621582;17.236192697782844;0.93668347597122192;17.746143228112565;0.93699139356613159;16.247182939377996;0.93637555837631226;16.056279635695073;0.93637555837631226
